FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,26533,461100201,부주산,옥암동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,461100201
1,26534,461100201,부주산,옥암동구간, ,0.68,쉬움,12,8, , , , , ,2016-12-31,461100201
2,26535,461100201,부주산,옥암동구간, ,1.07,쉬움,19,13, , , , , ,2016-12-31,461100201
3,26536,461100201,부주산,옥암동구간, ,0.6,쉬움,11,8, , , , , ,2016-12-31,461100201
4,26537,461100201,부주산,옥암동구간, ,0.74,쉬움,14,10, , , , , ,2016-12-31,461100201
5,26538,461100201,부주산,옥암동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,461100201
6,26539,461100201,부주산,옥암동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,461100201
7,26540,461100201,부주산,옥암동구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,461100201
8,26541,461100201,부주산,옥암동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,461100201
9,26542,461100201,부주산,옥암동구간, ,0.0,쉬움,1,0, , , , , ,2016-12-31,461100201
10,26543,461100201,부주산,옥암동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,461100201
