FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,26571,428106404,북면사무소앞산,원통리구간, ,0.66,쉬움,12,8, , , , , ,2016-12-31,428104001
1,26572,428106404,북면사무소앞산, , ,1.36,쉬움,24,17, , , , , ,2016-12-31,428104001
2,26573,428106404,북면사무소앞산,원통리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,428104001
3,26574,428106404,북면사무소앞산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,428104001
4,26575,428106404,북면사무소앞산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,428104001
5,26576,428106404,북면사무소앞산, , ,0.57,쉬움,10,7, , , , , ,2016-12-31,428104001
6,26577,428106404,북면사무소앞산,원통리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,428104001
7,26578,428106404,북면사무소앞산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,428104001
8,26579,428106404,북면사무소앞산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,428104001
9,26580,428106404,북면사무소앞산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,428104001
10,26581,428106404,북면사무소앞산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,428104001
11,26582,428106404,북면사무소앞산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,428104001
12,26583,428106404,북면사무소앞산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,428104001
13,26584,428106404,북면사무소앞산,원통리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,428104001
