FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,26586,418202101,북배산, , ,2.36,쉬움,42,29, , , , , ,2016-12-31,2101021900
1,26587,418202101,북배산, , ,2.47,쉬움,44,31, , , , , ,2016-12-31,2101021900
2,26588,418202101,북배산, , ,4.7,쉬움,83,58, , , , , ,2016-12-31,2101021900
3,26589,418202101,북배산, , ,1.1,쉬움,19,14, , , , , ,2016-12-31,2101021900
4,26590,418202101,북배산,덕두원리구간, ,2.54,쉬움,45,31, , , , , ,2016-12-31,2101021900
5,26591,418202101,북배산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,2101021900
6,26592,418202101,북배산, , ,2.7,쉬움,48,33, , , , , ,2016-12-31,2101021900
7,26593,418202101,북배산, , ,1.62,쉬움,29,20, , , , , ,2016-12-31,2101021900
8,26594,418202101,북배산,오월리구간, ,2.33,쉬움,41,29, , , , , ,2016-12-31,2101021900
9,26595,418202101,북배산, , ,1.39,쉬움,25,17, , , , , ,2016-12-31,2101021900
10,26596,418202101,북배산, , ,1.61,쉬움,28,20, , , , , ,2016-12-31,2101021900
11,26597,418202101,북배산,서상리구간, ,4.18,쉬움,74,52, , , , , ,2016-12-31,2101021900
12,26598,418202101,북배산, , ,2.35,쉬움,41,29, , , , , ,2016-12-31,2101021900
13,26599,418202101,북배산, , ,1.26,쉬움,22,16, , , , , ,2016-12-31,2101021900
14,26600,418202101,북배산, , ,1.95,쉬움,34,24, , , , , ,2016-12-31,2101021900
15,26601,418202101,북배산,덕두원리구간, ,5.56,쉬움,209,146, , , , , ,2016-12-31,2101021900
16,26602,418202101,북배산,방동리구간, ,2.41,쉬움,72,51, , , , , ,2016-12-31,2101021900
17,26603,418202101,북배산,방동리구간, ,1.27,쉬움,22,16, , , , , ,2016-12-31,2101021900
18,26604,418202101,북배산,서상리구간, ,1.73,쉬움,31,21, , , , , ,2016-12-31,2101021900
19,26605,418202101,북배산, , ,2.38,쉬움,42,29, , , , , ,2016-12-31,2101021900
20,26606,418202101,북배산, , ,1.97,쉬움,35,24, , , , , ,2016-12-31,2101021900
21,26607,418202101,북배산,개곡리구간, ,4.09,쉬움,88,61, , , , , ,2016-12-31,2101021900
22,26608,418202101,북배산, , ,6.35,쉬움,112,78, , , , , ,2016-12-31,2101021900
23,26609,418202101,북배산,방동리구간, ,0.75,쉬움,13,9, , , , , ,2016-12-31,2101021900
24,26610,418202101,북배산,목동리구간, ,3.27,쉬움,58,40, , , , , ,2016-12-31,2101021900
25,26611,418202101,북배산,목동리구간, ,1.16,쉬움,20,14, , , , , ,2016-12-31,2101021900
26,26612,418202101,북배산,서상리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,2101021900
27,26613,418202101,북배산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2101021900
28,26614,418202101,북배산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,2101021900
29,26615,418202101,북배산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2101021900
30,26616,418202101,북배산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,2101021900
31,26617,418202101,북배산, , ,0.91,쉬움,16,11, , , , , ,2016-12-31,2101021900
32,26618,418202101,북배산, , ,0.98,쉬움,17,12, , , , , ,2016-12-31,2101021900
33,26619,418202101,북배산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2101021900
34,26620,418202101,북배산, , ,0.99,쉬움,17,12, , , , , ,2016-12-31,2101021900
35,26621,418202101,북배산, , ,2.39,쉬움,42,30, , , , , ,2016-12-31,2101021900
36,26622,418202101,북배산, , ,1.15,쉬움,20,14, , , , , ,2016-12-31,2101021900
37,26623,418202101,북배산, , ,1.18,쉬움,21,15, , , , , ,2016-12-31,2101021900
38,26624,418202101,북배산, , ,2.11,쉬움,37,26, , , , , ,2016-12-31,2101021900
39,26625,418202101,북배산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2101021900
40,26626,418202101,북배산, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,2101021900
41,26627,418202101,북배산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2101021900
42,26628,418202101,북배산, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,2101021900
43,26629,418202101,북배산, , ,1.14,쉬움,20,14, , , , , ,2016-12-31,2101021900
44,26630,418202101,북배산, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,2101021900
45,26631,418202101,북배산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2101021900
46,26632,418202101,북배산, , ,0.44,쉬움,8,5, , , , , ,2016-12-31,2101021900
47,26633,418202101,북배산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2101021900
48,26634,418202101,북배산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2101021900
49,26635,418202101,북배산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2101021900
50,26636,418202101,북배산, , ,2.52,쉬움,95,66, , , , , ,2016-12-31,2101021900
51,26637,418202101,북배산, , ,4.13,쉬움,73,51, , , , , ,2016-12-31,2101021900
52,26638,418202101,북배산, , ,0.77,쉬움,14,10, , , , , ,2016-12-31,2101021900
53,26639,418202101,북배산, , ,0.59,쉬움,10,7, , , , , ,2016-12-31,2101021900
54,26640,418202101,북배산,방동리구간, ,4.07,쉬움,72,50, , , , , ,2016-12-31,2101021900
