FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,29157,487202501,산성산,외초리구간, ,2.59,쉬움,46,32, , , , , ,2016-12-31,2811022000
1,29158,487202501,산성산,외초리구간, ,2.25,쉬움,40,28, , , , , ,2016-12-31,2811022000
2,29159,487202501,산성산,벽계리구간, ,1.8,쉬움,32,22, , , , , ,2016-12-31,2811022000
3,29160,487202501,산성산,벽계리구간, ,2.53,쉬움,45,31, , , , , ,2016-12-31,2811022000
4,29161,487202501,산성산,벽계리구간, ,0.67,쉬움,12,8, , , , , ,2016-12-31,2811022000
5,29162,487202501,산성산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2811022000
6,29163,487202501,산성산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,2811022000
7,29164,487202501,산성산,벽계리구간, ,1.13,쉬움,20,14, , , , , ,2016-12-31,2811022000
8,29165,487202501,산성산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2811022000
9,29166,487202501,산성산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2811022000
10,29167,487202501,산성산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2811022000
11,29168,487202501,산성산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2811022000
12,29169,487202501,산성산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2811022000
