FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,29175,302001701,산장산,원내동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,302001701
1,29176,302001701,산장산,성북동구간, ,1.22,쉬움,22,15, , , , , ,2016-12-31,302001701
2,29177,302001701,산장산,대정동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,302001701
3,29178,302001701,산장산,대정동구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,302001701
4,29179,302001701,산장산,성북동구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,302001701
5,29180,302001701,산장산,원내동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,302001701
6,29181,302001701,산장산,원내동구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,302001701
7,29182,302001701,산장산,원내동구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,302001701
8,29183,302001701,산장산,방동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,302001701
9,29184,302001701,산장산,성북동구간, ,0.98,쉬움,17,12, , , , , ,2016-12-31,302001701
10,29185,302001701,산장산,대정동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,302001701
11,29186,302001701,산장산,대정동구간, ,1.21,쉬움,26,18, , , , , ,2016-12-31,302001701
12,29187,302001701,산장산,대정동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,302001701
13,29188,302001701,산장산,대정동구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,302001701
14,29189,302001701,산장산,대정동구간, ,0.99,쉬움,17,12, , , , , ,2016-12-31,302001701
15,29190,302001701,산장산,대정동구간, ,0.81,쉬움,14,10, , , , , ,2016-12-31,302001701
16,29191,302001701,산장산,원내동구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,302001701
17,29192,302001701,산장산,방동구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,302001701
18,29193,302001701,산장산,원내동구간, ,0.7,쉬움,12,9, , , , , ,2016-12-31,302001701
19,29194,302001701,산장산,원내동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,302001701
20,29195,302001701,산장산,원내동구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,302001701
21,29196,302001701,산장산,원내동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,302001701
22,29197,302001701,산장산,원내동구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,302001701
23,29198,302001701,산장산,대정동구간, ,1.6,쉬움,28,20, , , , , ,2016-12-31,302001701
24,29199,302001701,산장산,대정동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,302001701
25,29200,302001701,산장산,대정동구간, ,0.91,쉬움,16,11, , , , , ,2016-12-31,302001701
26,29201,302001701,산장산,대정동구간, ,0.83,쉬움,15,10, , , , , ,2016-12-31,302001701
27,29202,302001701,산장산,대정동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,302001701
28,29203,302001701,산장산,대정동구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,302001701
29,29204,302001701,산장산,성북동구간, ,1.85,쉬움,33,23, , , , , ,2016-12-31,302001701
30,29205,302001701,산장산,성북동구간, ,0.72,쉬움,13,9, , , , , ,2016-12-31,302001701
31,29206,302001701,산장산,대정동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,302001701
