FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,29313,437450201,삼보산,남하리구간, ,1.3,쉬움,23,16, , , , , ,2016-12-31,2308990200
1,29314,437450201,삼보산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,2308990200
2,29315,437450201,삼보산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2308990200
3,29316,437450201,삼보산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2308990200
4,29317,437450201,삼보산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,2308990200
5,29318,437450201,삼보산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2308990200
6,29319,437450201,삼보산, , ,0.54,쉬움,10,7, , , , , ,2016-12-31,2308990200
7,29320,437450201,삼보산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2308990200
8,29321,437450201,삼보산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2308990200
9,29322,437450201,삼보산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2308990200
10,29323,437450201,삼보산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2308990200
11,29324,437450201,삼보산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2308990200
12,29325,437450201,삼보산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2308990200
13,29326,437450201,삼보산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2308990200
14,29327,437450201,삼보산, , ,0.63,쉬움,11,8, , , , , ,2016-12-31,2308990200
15,29328,437450201,삼보산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,2308990200
16,29329,437450201,삼보산, , ,2.19,쉬움,39,27, , , , , ,2016-12-31,2308990200
17,29330,437450201,삼보산, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,2308990200
18,29331,437450201,삼보산,신동리구간, ,1.81,쉬움,32,22, , , , , ,2016-12-31,2308990200
19,29332,437450201,삼보산,남하리구간, ,0.83,쉬움,16,11, , , , , ,2016-12-31,2308990200
20,29333,437450201,삼보산,죽리구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,2308990200
