FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,29446,488802701,삼봉산,봉산리구간, ,1.02,중간,38,27, , , , , ,2016-12-31,457301501
1,29447,488802701,삼봉산,개명리구간, ,0.92,쉬움,16,11, , , , , ,2016-12-31,457301501
2,29448,488802701,삼봉산,금봉암길구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,457301501
3,29449,488802701,삼봉산,금봉암길구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,457301501
4,29450,488802701,삼봉산,뼈재길구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,457301501
5,29451,488802701,삼봉산,고제저수지길구간, ,5.14,쉬움,193,135, , , , , ,2016-12-31,457301501
6,29452,488802701,삼봉산,고제저수지길구간, ,1.47,쉬움,26,18, , , , , ,2016-12-31,457301501
7,29453,488802701,삼봉산,개명리구간, ,2.43,쉬움,43,30, , , , , ,2016-12-31,457301501
8,29454,488802701,삼봉산,개명리구간, ,1.33,쉬움,23,16, , , , , ,2016-12-31,457301501
9,29455,488802701,삼봉산,봉산길구간, ,0.81,쉬움,14,10, , , , , ,2016-12-31,457301501
10,29456,488802701,삼봉산,봉산리구간, ,1.65,쉬움,29,20, , , , , ,2016-12-31,457301501
11,29457,488802701,삼봉산,봉산리구간, ,2.33,쉬움,41,29, , , , , ,2016-12-31,457301501
12,29458,488802701,삼봉산,봉산길구간, ,1.55,쉬움,27,19, , , , , ,2016-12-31,457301501
13,29459,488802701,삼봉산,금봉암길구간, ,0.25,중간,5,3, , , , , ,2016-12-31,457301501
14,29460,488802701,삼봉산,"금봉암길,뼈재길분기-삼봉산정상-소사고개길구간구간", ,3.09,쉬움,116,81, , , , , ,2016-12-31,457301501
15,29461,488802701,삼봉산,봉산길구간, ,2.18,쉬움,47,33, , , , , ,2016-12-31,457301501
16,29462,488802701,삼봉산,뼈재길구간, ,1.54,쉬움,33,23, , , , , ,2016-12-31,457301501
17,29463,488802701,삼봉산,뼈재길구간, ,2.01,쉬움,35,25, , , , , ,2016-12-31,457301501
18,29464,488802701,삼봉산,내당길구간, ,2.94,쉬움,52,36, , , , , ,2016-12-31,457301501
19,29465,488802701,삼봉산,봉산길구간, ,0.86,쉬움,15,11, , , , , ,2016-12-31,457301501
