FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,30217,451902301,상산, , ,2.41,쉬움,43,30, , , , , ,2016-12-31,2819102500
1,30218,451902301,상산, , ,0.49,쉬움,9,6, , , , , ,2016-12-31,2819102500
2,30219,451902301,상산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2819102500
3,30220,451902301,상산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2819102500
4,30221,451902301,상산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2819102500
5,30222,451902301,상산,삼산리구간, ,1.35,쉬움,24,17, , , , , ,2016-12-31,2819102500
6,30223,451902301,상산,삼산리구간, ,1.07,쉬움,19,13, , , , , ,2016-12-31,2819102500
7,30224,451902301,상산,죽림리구간, ,1.57,쉬움,59,41, , , , , ,2016-12-31,2819102500
8,30225,451902301,상산, , ,0.49,쉬움,9,6, , , , , ,2016-12-31,2819102500
9,30226,451902301,상산,죽림리구간, ,1.13,쉬움,20,14, , , , , ,2016-12-31,2819102500
10,30227,451902301,상산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2819102500
11,30228,451902301,상산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2819102500
12,30229,451902301,상산, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,2819102500
13,30230,451902301,상산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,2819102500
14,30231,451902301,상산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2819102500
15,30232,451902301,상산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2819102500
16,30233,451902301,상산, , ,2.12,쉬움,37,26, , , , , ,2016-12-31,2819102500
17,30234,451902301,상산, , ,0.51,쉬움,9,6, , , , , ,2016-12-31,2819102500
18,30235,451902301,상산,죽림리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,2819102500
19,30236,451902301,상산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2819102500
20,30237,451902301,상산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,2819102500
21,30238,451902301,상산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,2819102500
22,30239,451902301,상산, , ,1.04,쉬움,18,13, , , , , ,2016-12-31,2819102500
23,30240,451902301,상산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2819102500
24,30241,451902301,상산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2819102500
25,30242,451902301,상산,죽림리구간, ,1.26,쉬움,27,19, , , , , ,2016-12-31,2819102500
26,30243,451902301,상산, , ,0.96,쉬움,17,12, , , , , ,2016-12-31,2819102500
27,30244,451902301,상산,죽림리구간, ,1.59,쉬움,28,20, , , , , ,2016-12-31,2819102500
28,30245,451902301,상산, , ,1.41,쉬움,25,17, , , , , ,2016-12-31,2819102500
29,30246,451902301,상산, , ,0.77,쉬움,14,10, , , , , ,2016-12-31,2819102500
