FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,30484,481102001,새방골산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,481230301
1,30485,481102001,새방골산, , ,0.45,쉬움,8,6, , , , , ,2016-12-31,481230301
2,30486,481102001,새방골산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,481230301
3,30487,481102001,새방골산,양곡동구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,481230301
4,30488,481102001,새방골산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,481230301
5,30489,481102001,새방골산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,481230301
6,30490,481102001,새방골산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,481230301
7,30491,481102001,새방골산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,481230301
8,30492,481102001,새방골산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,481230301
9,30493,481102001,새방골산,양곡동구간, ,0.74,쉬움,16,11, , , , , ,2016-12-31,481230301
10,30494,481102001,새방골산,귀현동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,481230301
11,30495,481102001,새방골산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,481230301
12,30496,481102001,새방골산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,481230301
13,30497,481102001,새방골산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,481230301
14,30498,481102001,새방골산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,481230301
15,30499,481102001,새방골산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,481230301
16,30500,481102001,새방골산,신촌동구간, ,3.19,쉬움,68,48, , , , , ,2016-12-31,481230301
17,30501,481102001,새방골산, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,481230301
18,30502,481102001,새방골산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,481230301
19,30503,481102001,새방골산, , ,0.72,쉬움,13,9, , , , , ,2016-12-31,481230301
20,30504,481102001,새방골산, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,481230301
21,30505,481102001,새방골산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,481230301
22,30506,481102001,새방골산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,481230301
23,30507,481102001,새방골산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,481230301
24,30508,481102001,새방골산,양곡동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,481230301
25,30509,481102001,새방골산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,481230301
26,30510,481102001,새방골산, , ,0.56,쉬움,10,7, , , , , ,2016-12-31,481230301
27,30511,481102001,새방골산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,481230301
28,30512,481102001,새방골산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,481230301
29,30513,481102001,새방골산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,481230301
30,30514,481102001,새방골산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,481230301
31,30515,481102001,새방골산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,481230301
32,30516,481102001,새방골산, , ,0.63,쉬움,11,8, , , , , ,2016-12-31,481230301
33,30517,481102001,새방골산,신촌동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,481230301
34,30518,481102001,새방골산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,481230301
35,30519,481102001,새방골산,신촌동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,481230301
36,30520,481102001,새방골산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,481230301
37,30521,481102001,새방골산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,481230301
38,30522,481102001,새방골산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,481230301
39,30523,481102001,새방골산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,481230301
40,30524,481102001,새방골산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,481230301
41,30525,481102001,새방골산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,481230301
42,30526,481102001,새방골산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,481230301
43,30527,481102001,새방골산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,481230301
44,30528,481102001,새방골산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,481230301
45,30529,481102001,새방골산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,481230301
