FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,30548,488702301,새암산,도북리구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,488702301
1,30549,488702301,새암산,도북리구간, ,0.63,쉬움,11,8, , , , , ,2016-12-31,488702301
2,30550,488702301,새암산,내백리구간, ,1.44,쉬움,25,18, , , , , ,2016-12-31,488702301
3,30551,488702301,새암산,내백리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,488702301
4,30552,488702301,새암산,도북리구간, ,0.89,쉬움,16,11, , , , , ,2016-12-31,488702301
5,30553,488702301,새암산,내백리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,488702301
6,30554,488702301,새암산,우명리구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,488702301
7,30555,488702301,새암산,도북리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,488702301
8,30556,488702301,새암산,도북리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,488702301
9,30557,488702301,새암산,우명리구간, ,13.62,쉬움,240,168, , , , , ,2016-12-31,488702301
