FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,30558,431103001,샘봉산,염티리구간, ,0.73,쉬움,13,9, , , , , ,2016-12-31,431103001
1,30559,431103001,샘봉산,문덕리구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,431103001
2,30560,431103001,샘봉산,문덕리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,431103001
3,30561,431103001,샘봉산,문덕리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,431103001
4,30562,431103001,샘봉산,문덕리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,431103001
5,30563,431103001,샘봉산,문덕리구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,431103001
6,30564,431103001,샘봉산,문덕리구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,431103001
7,30565,431103001,샘봉산,소전리구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,431103001
8,30566,431103001,샘봉산,소전리구간, ,0.82,쉬움,14,10, , , , , ,2016-12-31,431103001
9,30567,431103001,샘봉산,문덕리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,431103001
10,30568,431103001,샘봉산,문덕리구간, ,0.9,쉬움,27,19, , , , , ,2016-12-31,431103001
11,30569,431103001,샘봉산,소전리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,431103001
12,30570,431103001,샘봉산,소전리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,431103001
13,30571,431103001,샘봉산,염티리구간, ,0.7,쉬움,12,9, , , , , ,2016-12-31,431103001
14,30572,431103001,샘봉산,소전리구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,431103001
15,30573,431103001,샘봉산,소전리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,431103001
16,30574,431103001,샘봉산,염티리구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,431103001
17,30575,431103001,샘봉산,남대문리구간, ,0.56,쉬움,10,7, , , , , ,2016-12-31,431103001
18,30576,431103001,샘봉산,문덕리구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,431103001
19,30577,431103001,샘봉산,문덕리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,431103001
20,30578,431103001,샘봉산,소전리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,431103001
21,30579,431103001,샘봉산,소전리구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,431103001
22,30580,431103001,샘봉산,소전리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,431103001
23,30581,431103001,샘봉산,문덕리구간, ,0.97,쉬움,17,12, , , , , ,2016-12-31,431103001
24,30582,431103001,샘봉산,"남대문리,염티리구간", ,0.16,쉬움,3,2, , , , , ,2016-12-31,431103001
25,30583,431103001,샘봉산,염티리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,431103001
