FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,30593,469105001,서당산,하태서리구간, ,0.64,쉬움,12,8, , , , , ,2016-12-31,469105001
1,30594,469105001,서당산,하태서리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,469105001
2,30595,469105001,서당산,하태서리구간, ,1.61,쉬움,28,20, , , , , ,2016-12-31,469105001
3,30596,469105001,서당산,하태서리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,469105001
4,30597,469105001,서당산,하태서리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,469105001
5,30598,469105001,서당산,하태서리구간, ,0.84,쉬움,15,10, , , , , ,2016-12-31,469105001
6,30599,469105001,서당산,하태서리구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,469105001
7,30600,469105001,서당산,하태서리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,469105001
8,30601,469105001,서당산,하태서리구간, ,1.15,쉬움,20,14, , , , , ,2016-12-31,469105001
9,30602,469105001,서당산,하태서리구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,469105001
10,30603,469105001,서당산,하태서리구간, ,0.93,쉬움,16,11, , , , , ,2016-12-31,469105001
11,30604,469105001,서당산,하태동리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,469105001
12,30605,469105001,서당산,하태동리구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,469105001
13,30606,469105001,서당산,하태동리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,469105001
14,30607,469105001,서당산,하태동리구간, ,0.61,쉬움,11,8, , , , , ,2016-12-31,469105001
15,30608,469105001,서당산,하태동리구간, ,0.97,쉬움,17,12, , , , , ,2016-12-31,469105001
16,30609,469105001,서당산,하태동리구간, ,1.51,쉬움,27,19, , , , , ,2016-12-31,469105001
17,30610,469105001,서당산,하태서리구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,469105001
18,30611,469105001,서당산,하태서리구간, ,1.02,쉬움,18,13, , , , , ,2016-12-31,469105001
