FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,30780,418202301,서리산,외방리구간, ,1.98,쉬움,35,24, , , , , ,2016-12-31,2101032100
1,30781,418202301,서리산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,2101032100
2,30782,418202301,서리산,상동리구간, ,1.77,쉬움,66,46, , , , , ,2016-12-31,2101032100
3,30783,418202301,서리산, , ,2.23,쉬움,39,28, , , , , ,2016-12-31,2101032100
4,30784,418202301,서리산, , ,0.71,쉬움,13,9, , , , , ,2016-12-31,2101032100
5,30785,418202301,서리산,상동리구간, ,2.07,쉬움,62,43, , , , , ,2016-12-31,2101032100
6,30786,418202301,서리산,상동리구간, ,3.14,쉬움,55,39, , , , , ,2016-12-31,2101032100
7,30787,418202301,서리산,행현리구간, ,3.27,쉬움,58,40, , , , , ,2016-12-31,2101032100
8,30788,418202301,서리산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,2101032100
9,30789,418202301,서리산, , ,0.95,쉬움,29,20, , , , , ,2016-12-31,2101032100
10,30790,418202301,서리산, , ,1.41,쉬움,25,17, , , , , ,2016-12-31,2101032100
11,30791,418202301,서리산, , ,1.77,쉬움,31,22, , , , , ,2016-12-31,2101032100
12,30792,418202301,서리산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,2101032100
13,30793,418202301,서리산, , ,0.6,중간,15,11, , , , , ,2016-12-31,2101032100
14,30794,418202301,서리산, , ,1.53,쉬움,27,19, , , , , ,2016-12-31,2101032100
15,30795,418202301,서리산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,2101032100
16,30796,418202301,서리산, , ,2.17,쉬움,38,27, , , , , ,2016-12-31,2101032100
17,30797,418202301,서리산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,2101032100
18,30798,418202301,서리산, , ,1.72,쉬움,30,21, , , , , ,2016-12-31,2101032100
19,30799,418202301,서리산, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,2101032100
20,30800,418202301,서리산, , ,0.45,쉬움,8,6, , , , , ,2016-12-31,2101032100
21,30801,418202301,서리산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,2101032100
22,30802,418202301,서리산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2101032100
23,30803,418202301,서리산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,2101032100
