FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,31111,481703401,석갑산,평거동구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,481701601
1,31112,481703401,석갑산,평거동구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,481701601
2,31113,481703401,석갑산, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,481701601
3,31114,481703401,석갑산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,481701601
4,31115,481703401,석갑산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,481701601
5,31116,481703401,석갑산,평거동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,481701601
6,31117,481703401,석갑산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,481701601
7,31118,481703401,석갑산,평거동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,481701601
8,31119,481703401,석갑산, , ,1.13,쉬움,20,14, , , , , ,2016-12-31,481701601
9,31120,481703401,석갑산,신안동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,481701601
10,31121,481703401,석갑산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,481701601
11,31122,481703401,석갑산,평거동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,481701601
12,31123,481703401,석갑산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,481701601
13,31124,481703401,석갑산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,481701601
14,31125,481703401,석갑산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,481701601
15,31126,481703401,석갑산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,481701601
16,31127,481703401,석갑산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,481701601
17,31128,481703401,석갑산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,481701601
18,31129,481703401,석갑산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,481701601
19,31130,481703401,석갑산,신안동구간, ,0.63,쉬움,11,8, , , , , ,2016-12-31,481701601
20,31131,481703401,석갑산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,481701601
21,31132,481703401,석갑산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,481701601
22,31133,481703401,석갑산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,481701601
23,31134,481703401,석갑산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,481701601
24,31135,481703401,석갑산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,481701601
25,31136,481703401,석갑산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,481701601
26,31137,481703401,석갑산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,481701601
27,31138,481703401,석갑산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,481701601
28,31139,481703401,석갑산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,481701601
29,31140,481703401,석갑산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,481701601
30,31141,481703401,석갑산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,481701601
31,31142,481703401,석갑산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,481701601
32,31143,481703401,석갑산, , ,0.59,쉬움,10,7, , , , , ,2016-12-31,481701601
33,31144,481703401,석갑산,이현동구간, ,0.88,쉬움,16,11, , , , , ,2016-12-31,481701601
34,31145,481703401,석갑산,판문동구간, ,0.04,중간,1,0, , , , , ,2016-12-31,481701601
35,31146,481703401,석갑산,판문동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,481701601
36,31147,481703401,석갑산, , ,0.54,쉬움,10,7, , , , , ,2016-12-31,481701601
37,31148,481703401,석갑산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,481701601
38,31149,481703401,석갑산,판문동구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,481701601
39,31150,481703401,석갑산, , ,0.63,쉬움,11,8, , , , , ,2016-12-31,481701601
40,31151,481703401,석갑산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,481701601
41,31152,481703401,석갑산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,481701601
42,31153,481703401,석갑산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,481701601
43,31154,481703401,석갑산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,481701601
44,31155,481703401,석갑산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,481701601
45,31156,481703401,석갑산,신안동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,481701601
46,31157,481703401,석갑산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,481701601
47,31158,481703401,석갑산,신안동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,481701601
