FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,31210,414602201,석성산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,414611501
1,31211,414602201,석성산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,414611501
2,31212,414602201,석성산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,414611501
3,31213,414602201,석성산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,414611501
4,31214,414602201,석성산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,414611501
5,31215,414602201,석성산,삼가동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,414611501
6,31216,414602201,석성산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,414611501
7,31217,414602201,석성산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,414611501
8,31218,414602201,석성산,유방동구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,414611501
9,31219,414602201,석성산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,414611501
10,31220,414602201,석성산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,414611501
11,31221,414602201,석성산,유방동구간, ,1.56,쉬움,28,19, , , , , ,2016-12-31,414611501
12,31222,414602201,석성산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,414611501
13,31223,414602201,석성산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,414611501
14,31224,414602201,석성산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,414611501
15,31225,414602201,석성산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,414611501
16,31226,414602201,석성산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,414611501
17,31227,414602201,석성산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,414611501
18,31228,414602201,석성산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,414611501
19,31229,414602201,석성산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,414611501
20,31230,414602201,석성산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,414611501
21,31231,414602201,석성산,마성리구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,414611501
22,31232,414602201,석성산,마성리구간, ,0.88,쉬움,22,15, , , , , ,2016-12-31,414611501
23,31233,414602201,석성산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,414611501
24,31234,414602201,석성산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,414611501
25,31235,414602201,석성산,마성리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,414611501
26,31236,414602201,석성산,마성리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,414611501
27,31237,414602201,석성산,마성리구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,414611501
28,31238,414602201,석성산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,414611501
29,31239,414602201,석성산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,414611501
30,31240,414602201,석성산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,414611501
31,31241,414602201,석성산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,414611501
32,31242,414602201,석성산, , ,0.93,쉬움,16,11, , , , , ,2016-12-31,414611501
33,31243,414602201,석성산,가실리구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,414611501
34,31244,414602201,석성산,가실리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,414611501
35,31245,414602201,석성산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,414611501
36,31246,414602201,석성산, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,414611501
37,31247,414602201,석성산, , ,0.58,쉬움,10,7, , , , , ,2016-12-31,414611501
38,31248,414602201,석성산, , ,0.76,쉬움,13,9, , , , , ,2016-12-31,414611501
39,31249,414602201,석성산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,414611501
40,31250,414602201,석성산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,414611501
41,31251,414602201,석성산,가실리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,414611501
42,31252,414602201,석성산,가실리구간, ,0.19,중간,3,2, , , , , ,2016-12-31,414611501
43,31253,414602201,석성산,가실리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,414611501
44,31254,414602201,석성산, , ,0.4,쉬움,7,5, , , , , ,2016-12-31,414611501
45,31255,414602201,석성산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,414611501
46,31256,414602201,석성산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,414611501
47,31257,414602201,석성산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,414611501
48,31258,414602201,석성산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,414611501
49,31259,414602201,석성산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,414611501
50,31260,414602201,석성산,중동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,414630201
51,31261,414602201,석성산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,414630201
52,31262,414602201,석성산,중동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,414630201
53,31263,414602201,석성산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,414630201
54,31264,414602201,석성산,중동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,414630201
55,31265,414602201,석성산,중동구간, ,0.63,쉬움,12,8, , , , , ,2016-12-31,414630201
56,31266,414602201,석성산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,414630201
