FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,31384,477201101,선방산,하곡리구간, ,2.28,쉬움,40,28, , , , , ,2016-12-31,477201101
1,31385,477201101,선방산,동부리구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,477201101
2,31386,477201101,선방산,동부리구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,477201101
3,31387,477201101,선방산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,477201101
4,31388,477201101,선방산,정리구간, ,1.1,쉬움,19,14, , , , , ,2016-12-31,477201101
5,31389,477201101,선방산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,477201101
6,31390,477201101,선방산, , ,0.49,쉬움,9,6, , , , , ,2016-12-31,477201101
7,31391,477201101,선방산,상곡리구간, ,2.71,쉬움,48,33, , , , , ,2016-12-31,477201101
8,31392,477201101,선방산, , ,1.18,쉬움,21,15, , , , , ,2016-12-31,477201101
9,31393,477201101,선방산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,477201101
10,31394,477201101,선방산,상곡리구간, ,0.84,쉬움,15,10, , , , , ,2016-12-31,477201101
11,31395,477201101,선방산,상곡리구간, ,2.31,쉬움,41,29, , , , , ,2016-12-31,477201101
12,31396,477201101,선방산,오곡리구간, ,1.66,쉬움,29,21, , , , , ,2016-12-31,477201101
