FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,31475,478201801,선의산,하도리구간, ,2.83,쉬움,106,74, , , , , ,2016-12-31,478201801
1,31476,478201801,선의산,송백리구간, ,3.73,쉬움,66,46, , , , , ,2016-12-31,478201801
2,31477,478201801,선의산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2720041700
3,31478,478201801,선의산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2720041700
4,31479,478201801,선의산, , ,1.92,쉬움,34,24, , , , , ,2016-12-31,2720041700
5,31480,478201801,선의산, , ,0.8,쉬움,14,10, , , , , ,2016-12-31,2720041700
6,31481,478201801,선의산,신방리구간, ,0.72,중간,22,15, , , , , ,2016-12-31,2720041700
7,31482,478201801,선의산,신방리구간, ,0.93,쉬움,28,20, , , , , ,2016-12-31,2720041700
8,31483,478201801,선의산,하도리구간, ,5.39,쉬움,95,67, , , , , ,2016-12-31,2720041700
9,31484,478201801,선의산,송백리구간, ,2.8,쉬움,49,35, , , , , ,2016-12-31,2720041700
10,31485,478201801,선의산,송백리구간, ,2.35,쉬움,41,29, , , , , ,2016-12-31,2720041700
11,31486,478201801,선의산,원리구간, ,0.71,중간,18,12, , , , , ,2016-12-31,2720041700
12,31487,478201801,선의산,송백리구간, ,0.8,쉬움,20,14, , , , , ,2016-12-31,2720041700
13,31488,478201801,선의산,신방리구간, ,0.59,쉬움,13,9, , , , , ,2016-12-31,2720041700
14,31489,478201801,선의산,원리구간, ,1.44,쉬움,43,30, , , , , ,2016-12-31,2720041700
15,31490,478201801,선의산,하도리구간, ,1.08,쉬움,19,13, , , , , ,2016-12-31,2720041700
16,31491,478201801,선의산,원리구간, ,0.71,중간,18,12, , , , , ,2016-12-31,2720041700
17,31492,478201801,선의산, , ,0.54,쉬움,10,7, , , , , ,2016-12-31,2720041700
18,31493,478201801,선의산,신방리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,2720041700
19,31494,478201801,선의산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2720041700
20,31495,478201801,선의산, , ,1.5,쉬움,26,19, , , , , ,2016-12-31,2720041700
21,31496,478201801,선의산, , ,1.43,쉬움,25,18, , , , , ,2016-12-31,2720041700
22,31497,478201801,선의산, , ,4.02,쉬움,75,53, , , , , ,2016-12-31,2720041700
23,31498,478201801,선의산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2720041700
24,31499,478201801,선의산, , ,0.75,쉬움,13,9, , , , , ,2016-12-31,2720041700
25,31500,478201801,선의산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2720041700
26,31501,478201801,선의산,두곡리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,2720041700
27,31502,478201801,선의산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2720041700
28,31503,478201801,선의산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2720041700
