FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,31769,428302602,설악산_대청봉, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,422100901
1,31770,428302602,설악산_대청봉, , ,3.53,쉬움,62,44, , , , , ,2016-12-31,422100901
2,31771,428302602,설악산_대청봉, , ,3.37,쉬움,59,42, , , , , ,2016-12-31,422100901
3,31772,428302602,설악산_대청봉, , ,4.54,쉬움,80,56, , , , , ,2016-12-31,422100901
4,31773,428302602,설악산_대청봉, , ,3.08,쉬움,54,38, , , , , ,2016-12-31,422100901
5,31774,428302602,설악산_대청봉,설악동구간, ,7.64,쉬움,287,201, , , , , ,2016-12-31,422100901
6,31775,428302602,설악산_대청봉, , ,1.18,쉬움,21,15, , , , , ,2016-12-31,422100901
7,31776,428302602,설악산_대청봉,설악동구간, ,1.37,쉬움,24,17, , , , , ,2016-12-31,422100901
8,31777,428302602,설악산_대청봉, , ,4.93,쉬움,87,61, , , , , ,2016-12-31,422100901
9,31778,428302602,설악산_대청봉, , ,7.02,쉬움,124,87, , , , , ,2016-12-31,428103001
10,31779,428302602,설악산_대청봉, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,428103001
11,31780,428302602,설악산_대청봉, , ,0.56,쉬움,10,7, , , , , ,2016-12-31,428103001
12,31781,428302602,설악산_대청봉, , ,0.97,쉬움,17,12, , , , , ,2016-12-31,428103001
13,31782,428302602,설악산_대청봉, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,428103001
14,31783,428302602,설악산_대청봉, , ,1.37,쉬움,24,17, , , , , ,2016-12-31,428103001
15,31784,428302602,설악산_대청봉, , ,3.71,쉬움,65,46, , , , , ,2016-12-31,428103001
16,31785,428302602,설악산_대청봉, , ,1.18,쉬움,21,15, , , , , ,2016-12-31,428103001
17,31786,428302602,설악산_대청봉, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,428103001
18,31787,428302602,설악산_대청봉, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,428103001
19,31788,428302602,설악산_대청봉, , ,0.71,쉬움,13,9, , , , , ,2016-12-31,428103001
20,31789,428302602,설악산_대청봉, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,428103001
21,31790,428302602,설악산_대청봉,한계리구간, ,2.42,쉬움,91,64, , , , , ,2016-12-31,428103001
22,31791,428302602,설악산_대청봉,한계리구간, ,9.02,쉬움,271,189, , , , , ,2016-12-31,428103001
23,31792,428302602,설악산_대청봉, , ,4.17,쉬움,74,52, , , , , ,2016-12-31,428103001
24,31793,428302602,설악산_대청봉, , ,2.11,쉬움,37,26, , , , , ,2016-12-31,428103001
25,31794,428302602,설악산_대청봉, , ,2.35,쉬움,41,29, , , , , ,2016-12-31,428103001
26,31795,428302602,설악산_대청봉, , ,4.69,쉬움,83,58, , , , , ,2016-12-31,428103001
27,31796,428302602,설악산_대청봉, , ,2.92,쉬움,52,36, , , , , ,2016-12-31,428103001
28,31797,428302602,설악산_대청봉, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,428103001
29,31798,428302602,설악산_대청봉, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,428103001
30,31799,428302602,설악산_대청봉, , ,1.05,쉬움,19,13, , , , , ,2016-12-31,428103001
31,31800,428302602,설악산_대청봉, , ,1.77,쉬움,31,22, , , , , ,2016-12-31,428103001
32,31801,428302602,설악산_대청봉, , ,0.95,쉬움,17,12, , , , , ,2016-12-31,428103001
33,31802,428302602,설악산_대청봉, , ,0.4,쉬움,7,5, , , , , ,2016-12-31,428103001
34,31803,428302602,설악산_대청봉, , ,1.96,쉬움,35,24, , , , , ,2016-12-31,428103001
35,31804,428302602,설악산_대청봉, , ,5.67,쉬움,100,70, , , , , ,2016-12-31,428103001
36,31805,428302602,설악산_대청봉, , ,1.09,쉬움,19,13, , , , , ,2016-12-31,428103001
37,31806,428302602,설악산_대청봉, , ,4.89,쉬움,86,60, , , , , ,2016-12-31,428103001
38,31807,428302602,설악산_대청봉, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,428103001
39,31808,428302602,설악산_대청봉, , ,1.3,쉬움,23,16, , , , , ,2016-12-31,428103001
40,31809,428302602,설악산_대청봉, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,428103001
41,31810,428302602,설악산_대청봉, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,428103001
42,31811,428302602,설악산_대청봉,용대리구간, ,0.48,중간,10,7, , , , , ,2016-12-31,428103001
43,31812,428302602,설악산_대청봉,용대리구간, ,8.16,쉬움,306,214, , , , , ,2016-12-31,428103001
44,31813,428302602,설악산_대청봉,용대리구간, ,7.09,쉬움,125,88, , , , , ,2016-12-31,428103001
45,31814,428302602,설악산_대청봉,오색리구간, ,1.68,쉬움,42,29, , , , , ,2016-12-31,428302601
46,31815,428302602,설악산_대청봉, , ,2.97,쉬움,52,37, , , , , ,2016-12-31,428302601
47,31816,428302602,설악산_대청봉, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,428302601
48,31817,428302602,설악산_대청봉,오색리구간, ,0.5,쉬움,9,7, , , , , ,2016-12-31,428302601
49,31818,428302602,설악산_대청봉,오색리구간, ,4.02,쉬움,71,50, , , , , ,2016-12-31,428302601
50,31819,428302602,설악산_대청봉, , ,0.93,쉬움,16,11, , , , , ,2016-12-31,428302601
51,31820,428302602,설악산_대청봉, , ,2.53,쉬움,45,31, , , , , ,2016-12-31,428302601
52,31821,428302602,설악산_대청봉, , ,1.54,쉬움,27,19, , , , , ,2016-12-31,428302601
53,31822,428302602,설악산_대청봉, , ,1.24,쉬움,22,15, , , , , ,2016-12-31,428302601
54,31823,428302602,설악산_대청봉, , ,0.62,쉬움,11,8, , , , , ,2016-12-31,428302601
55,31824,428302602,설악산_대청봉, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,428302601
56,31825,428302602,설악산_대청봉,오색리구간, ,4.71,쉬움,83,58, , , , , ,2016-12-31,428302601
