FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,31828,442002101,설화산,외암리구간, ,1.21,쉬움,45,32, , , , , ,2016-12-31,442002101
1,31829,442002101,설화산,중리구간, ,1.26,쉬움,22,16, , , , , ,2016-12-31,442002101
2,31830,442002101,설화산,중리구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,442002101
3,31831,442002101,설화산,중리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,442002101
4,31832,442002101,설화산,중리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,442002101
5,31833,442002101,설화산,중리구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,442002101
6,31834,442002101,설화산,중리구간, ,2.22,쉬움,39,27, , , , , ,2016-12-31,442002101
7,31835,442002101,설화산,중리구간, ,1.33,쉬움,23,16, , , , , ,2016-12-31,442002101
8,31836,442002101,설화산,장존동구간, ,1.39,쉬움,52,36, , , , , ,2016-12-31,442002101
9,31837,442002101,설화산,수철리구간, ,3.97,쉬움,74,52, , , , , ,2016-12-31,442002101
10,31838,442002101,설화산,중리구간, ,0.0,쉬움,1,0, , , , , ,2016-12-31,442002101
11,31839,442002101,설화산,중리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,442002101
