FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,32306,441801201,성주산,향천리구간, ,1.65,쉬움,31,22, , , , , ,2016-12-31,441801201
1,32307,441801201,성주산,의평리구간, ,1.6,쉬움,28,20, , , , , ,2016-12-31,441801201
2,32308,441801201,성주산,향천리구간, ,3.24,쉬움,57,40, , , , , ,2016-12-31,441801201
3,32309,441801201,성주산,향천리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,441801201
4,32310,441801201,성주산,향천리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,441801201
5,32311,441801201,성주산,향천리구간, ,1.6,쉬움,28,20, , , , , ,2016-12-31,441801201
6,32312,441801201,성주산,향천리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,441801201
7,32313,441801201,성주산,향천리구간, ,0.59,쉬움,10,7, , , , , ,2016-12-31,441801201
8,32314,441801201,성주산,동대동구간, ,0.83,쉬움,15,10, , , , , ,2016-12-31,441801201
9,32315,441801201,성주산,동대동구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,441801201
10,32316,441801201,성주산,동대동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,441801201
11,32317,441801201,성주산,동대동구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,441801201
12,32318,441801201,성주산,향천리구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,441801201
13,32319,441801201,성주산,동대동구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,441801201
14,32320,441801201,성주산,성주리구간, ,0.72,쉬움,13,9, , , , , ,2016-12-31,441801201
15,32321,441801201,성주산,성주리구간, ,1.13,쉬움,20,14, , , , , ,2016-12-31,441801201
16,32322,441801201,성주산,성주리구간, ,1.06,쉬움,19,13, , , , , ,2016-12-31,441801201
17,32323,441801201,성주산,성주리구간, ,1.9,쉬움,34,23, , , , , ,2016-12-31,441801201
18,32324,441801201,성주산,성주리구간, ,1.69,쉬움,30,21, , , , , ,2016-12-31,441801201
19,32325,441801201,성주산,향천리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,441801201
20,32326,441801201,성주산,성주리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,441801201
21,32327,441801201,성주산,성주리구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,441801201
22,32328,441801201,성주산,성주리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,441801201
23,32329,441801201,성주산,성주리구간, ,1.17,쉬움,21,14, , , , , ,2016-12-31,441801201
24,32330,441801201,성주산,성주리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,441801201
25,32331,441801201,성주산,성주리구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,441801201
26,32332,441801201,성주산,성주리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,441801201
27,32333,441801201,성주산,성주리구간, ,0.73,쉬움,13,9, , , , , ,2016-12-31,441801201
28,32334,441801201,성주산,성주리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,441801201
29,32335,441801201,성주산,성주리구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,441801201
30,32336,441801201,성주산,성주리구간, ,1.53,쉬움,27,19, , , , , ,2016-12-31,441801201
31,32337,441801201,성주산,성주리구간, ,1.17,쉬움,44,31, , , , , ,2016-12-31,441801201
32,32338,441801201,성주산,성주리구간, ,0.84,쉬움,15,10, , , , , ,2016-12-31,441801201
33,32339,441801201,성주산,성주리구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,441801201
34,32340,441801201,성주산,성주리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,441801201
35,32341,441801201,성주산,성주리구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,441801201
36,32342,441801201,성주산,성주리구간, ,3.06,쉬움,54,38, , , , , ,2016-12-31,441801201
37,32343,441801201,성주산,성주리구간, ,2.99,쉬움,75,52, , , , , ,2016-12-31,441801201
38,32344,441801201,성주산,개화리구간, ,1.07,쉬움,19,13, , , , , ,2016-12-31,441801201
39,32345,441801201,성주산,성주리구간, ,0.62,쉬움,11,8, , , , , ,2016-12-31,441801201
40,32346,441801201,성주산,성주리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,441801201
41,32347,441801201,성주산,성주리구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,441801201
42,32348,441801201,성주산,성주리구간, ,2.17,쉬움,38,27, , , , , ,2016-12-31,441801201
43,32349,441801201,성주산,개화리구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,441801201
44,32350,441801201,성주산,성주리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,441801201
45,32351,441801201,성주산,성주리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,441801201
46,32352,441801201,성주산,동대동구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,441801201
47,32353,441801201,성주산,성주리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,441801201
48,32354,441801201,성주산,개화리구간, ,2.66,쉬움,47,33, , , , , ,2016-12-31,441801201
