FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,32448,447602401,성흥산,군사리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,447602401
1,32449,447602401,성흥산,선흥산 진입로 임도-한고개 등산로 입구구간, ,0.43,쉬움,8,5,암반/토사/포장도로, , , , ,2016-12-31,447602401
2,32450,447602401,성흥산,선흥산 진입로 임도-한고개 등산로 입구구간,남문,0.58,쉬움,10,7,암반/토사/포장도로, , , , ,2016-12-31,447602401
3,32451,447602401,성흥산,충혼사-임천향교 입구구간, ,0.27,쉬움,5,3,암반/토사, , , , ,2016-12-31,447602401
4,32452,447602401,성흥산,서문-남문구간, ,0.58,쉬움,10,7,암반/토사, , , , ,2016-12-31,447602401
5,32453,447602401,성흥산,선흥산 진입로 임도-한고개 등산로 입구구간,유태사지묘/봉화제단,0.39,쉬움,7,5,암반/토사/포장도로, , , , ,2016-12-31,447602401
6,32454,447602401,성흥산,산장가든구간, ,0.02,쉬움,1,0,암반/토사/포장도로, , , , ,2016-12-31,447602401
7,32455,447602401,성흥산,충혼사-임천향교 입구구간, ,0.07,쉬움,1,1,암반/토사, , , , ,2016-12-31,447602401
8,32456,447602401,성흥산,주차장구간, ,0.08,쉬움,1,1,암반/토사, , , , ,2016-12-31,447602401
9,32457,447602401,성흥산,주차장구간, ,0.18,쉬움,3,2,암반/토사, , , , ,2016-12-31,447602401
10,32458,447602401,성흥산,군사리구간, ,0.12,쉬움,2,1,암반/토사, , , , ,2016-12-31,447602401
11,32459,447602401,성흥산,선흥산 진입로 임도-한고개 등산로 입구구간, ,0.28,쉬움,5,3,암반/토사/포장도로, , , , ,2016-12-31,447602401
12,32460,447602401,성흥산,임천면사무소-서문구간, ,0.18,쉬움,3,2,토사, , , , ,2016-12-31,447602401
13,32461,447602401,성흥산,임천면사무소-서문구간, ,0.06,쉬움,1,1,토사, , , , ,2016-12-31,447602401
14,32462,447602401,성흥산,임천면사무소-서문구간, ,0.25,쉬움,4,3,토사, , , , ,2016-12-31,447602401
15,32463,447602401,성흥산,임천면사무소-서문구간, ,0.39,쉬움,7,5,토사, , , , ,2016-12-31,447602401
16,32464,447602401,성흥산,임천면사무소-서문구간, ,0.17,쉬움,3,2,토사, , , , ,2016-12-31,447602401
17,32465,447602401,성흥산,주차장구간, ,0.05,쉬움,1,1,암반/토사, , , , ,2016-12-31,447602401
18,32466,447602401,성흥산,선흥산 진입로 임도-한고개 등산로 입구구간, ,0.06,쉬움,1,1,암반/토사/포장도로, , , , ,2016-12-31,447602401
19,32467,447602401,성흥산,산장가든구간, ,0.22,쉬움,4,3,토사, , , , ,2016-12-31,447602401
20,32468,447602401,성흥산,선흥산 진입로 임도-한고개 등산로 입구구간, ,0.21,쉬움,4,3,암반/토사/포장도로, , , , ,2016-12-31,447602401
21,32469,447602401,성흥산,충혼사-임천향교 입구구간, ,0.21,쉬움,4,3,암반/토사, , , , ,2016-12-31,447602401
22,32470,447602401,성흥산,충혼사-임천향교 입구구간, ,0.01,쉬움,1,0,암반/토사, , , , ,2016-12-31,447602401
