FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,32560,282000501,소래산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,282000501
1,32561,282000501,소래산,장수동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,282000501
2,32562,282000501,소래산,장수동구간,소래산입구 - 소래산 정상 -김재로 묘,0.31,쉬움,5,4, , , , , ,2016-12-31,282000501
3,32563,282000501,소래산,신천동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,413900301
4,32564,282000501,소래산,신천동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,413900301
5,32565,282000501,소래산,신천동구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,413900301
6,32566,282000501,소래산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,413900301
7,32567,282000501,소래산,대야동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,413900301
8,32568,282000501,소래산,대야동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,413900301
9,32569,282000501,소래산,대야동구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,413900301
10,32570,282000501,소래산,대야동구간, ,0.07,중간,1,1, , , , , ,2016-12-31,413900301
11,32571,282000501,소래산,대야동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,413900301
12,32572,282000501,소래산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,413900301
13,32573,282000501,소래산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,413900301
14,32574,282000501,소래산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,413900301
15,32575,282000501,소래산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,413900301
16,32576,282000501,소래산,대야동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,413900301
17,32577,282000501,소래산,대야동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,413900301
18,32578,282000501,소래산,신천동구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,413900301
19,32579,282000501,소래산, , ,0.59,쉬움,10,7, , , , , ,2016-12-31,2123990200
20,32580,282000501,소래산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2123990200
21,32581,282000501,소래산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2123990200
22,32582,282000501,소래산,대야동구간, ,0.66,쉬움,12,8, , , , , ,2016-12-31,2123990200
23,32583,282000501,소래산,대야동구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,2123990200
24,32584,282000501,소래산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2123990200
25,32585,282000501,소래산, , ,0.7,쉬움,12,9, , , , , ,2016-12-31,2123990200
26,32586,282000501,소래산,신천동구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,2123990200
27,32587,282000501,소래산,신천동구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,2123990200
28,32588,282000501,소래산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2123990200
29,32589,282000501,소래산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2123990200
30,32590,282000501,소래산,신천동구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,2123990200
31,32591,282000501,소래산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2123990200
32,32592,282000501,소래산,신천동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,2123990200
33,32593,282000501,소래산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2123990200
34,32594,282000501,소래산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,2123990200
35,32595,282000501,소래산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2123990200
36,32596,282000501,소래산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2123990200
37,32597,282000501,소래산,대야동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,2123990200
38,32598,282000501,소래산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2123990200
39,32599,282000501,소래산,김재로 묘구간,소래산입구 - 소래산 정상 -김재로 묘,0.42,쉬움,7,5, , , , , ,2016-12-31,2123990200
40,32600,282000501,소래산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2123990200
41,32601,282000501,소래산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2123990200
42,32602,282000501,소래산,대야동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,2123990200
43,32603,282000501,소래산,대야동구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,2123990200
44,32604,282000501,소래산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,2123990200
45,32605,282000501,소래산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,2123990200
46,32606,282000501,소래산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2123990200
47,32607,282000501,소래산, , ,4.12,쉬움,73,51, , , , , ,2016-12-31,2123990200
48,32608,282000501,소래산,장수동구간, ,0.65,쉬움,11,8, , , , , ,2016-12-31,2123990200
49,32609,282000501,소래산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,2123990200
