FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,32656,438001301,소백산_비로봉,어의곡리구간, ,3.54,쉬움,62,44, , , , , ,2016-12-31,438001301
1,32657,438001301,소백산_비로봉,성금리구간, ,16.36,쉬움,289,202, , , , , ,2016-12-31,438001301
2,32658,438001301,소백산_비로봉,천동리구간, ,9.21,쉬움,345,242, , , , , ,2016-12-31,438001301
3,32659,438001301,소백산_비로봉,어의곡리구간, ,2.91,쉬움,51,36, , , , , ,2016-12-31,438001301
4,32660,438001301,소백산_비로봉,어의곡리구간, ,2.23,쉬움,39,28, , , , , ,2016-12-31,438001301
5,32661,438001301,소백산_비로봉,어의곡리구간, ,3.55,쉬움,63,44, , , , , ,2016-12-31,438001301
6,32662,438001301,소백산_비로봉,배점리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,438001301
7,32663,438001301,소백산_비로봉,삼가리구간, ,2.6,쉬움,46,32, , , , , ,2016-12-31,438001301
8,32664,438001301,소백산_비로봉,삼가리구간, ,2.29,쉬움,69,48, , , , , ,2016-12-31,438001301
9,32665,438001301,소백산_비로봉,어의곡리구간, ,2.06,쉬움,36,25, , , , , ,2016-12-31,438001301
10,32666,438001301,소백산_비로봉,어의곡리구간, ,4.33,쉬움,162,114, , , , , ,2016-12-31,438001301
11,32667,438001301,소백산_비로봉,어의곡리구간, ,3.08,쉬움,54,38, , , , , ,2016-12-31,438001301
12,32668,438001301,소백산_비로봉,남천리구간, ,3.0,쉬움,113,79, , , , , ,2016-12-31,438001301
13,32669,438001301,소백산_비로봉,남천리구간, ,18.95,쉬움,474,332, , , , , ,2016-12-31,438001301
14,32670,438001301,소백산_비로봉,어의곡리구간, ,5.27,쉬움,93,65, , , , , ,2016-12-31,438001301
15,32671,438001301,소백산_비로봉,어의곡리구간, ,4.91,쉬움,184,129, , , , , ,2016-12-31,438001301
16,32672,438001301,소백산_비로봉,어의곡리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,438001301
17,32673,438001301,소백산_비로봉,어의곡리구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,438001301
