FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,32797,437201201,속리산_천황봉,장암리구간, ,3.08,쉬움,54,38, , , , , ,2016-12-31,437201201
1,32798,437201201,속리산_천황봉,장암리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,437201201
2,32799,437201201,속리산_천황봉,사내리구간, ,2.93,쉬움,52,36, , , , , ,2016-12-31,437201201
3,32800,437201201,속리산_천황봉,사내리구간, ,3.72,쉬움,66,46, , , , , ,2016-12-31,437201201
4,32801,437201201,속리산_천황봉,장암리구간, ,1.17,쉬움,21,14, , , , , ,2016-12-31,437201201
5,32802,437201201,속리산_천황봉,사내리구간, ,1.44,쉬움,25,18, , , , , ,2016-12-31,437201201
6,32803,437201201,속리산_천황봉,사내리구간, ,0.72,쉬움,13,9, , , , , ,2016-12-31,437201201
7,32804,437201201,속리산_천황봉,사내리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,437201201
8,32805,437201201,속리산_천황봉,사내리구간, ,1.1,쉬움,19,14, , , , , ,2016-12-31,437201201
9,32806,437201201,속리산_천황봉,사내리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,437201201
10,32807,437201201,속리산_천황봉,사내리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,437201201
11,32808,437201201,속리산_천황봉,사내리구간, ,1.53,쉬움,27,19, , , , , ,2016-12-31,437201201
12,32809,437201201,속리산_천황봉,사내리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,437201201
13,32810,437201201,속리산_천황봉,사내리구간, ,1.63,쉬움,29,20, , , , , ,2016-12-31,437201201
14,32811,437201201,속리산_천황봉,사내리구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,437201201
15,32812,437201201,속리산_천황봉,사내리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,437201201
16,32813,437201201,속리산_천황봉,사내리구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,437201201
17,32814,437201201,속리산_천황봉,도화리구간, ,2.62,쉬움,46,32, , , , , ,2016-12-31,437201201
18,32815,437201201,속리산_천황봉,만수리구간, ,4.72,쉬움,83,58, , , , , ,2016-12-31,437201201
19,32816,437201201,속리산_천황봉,만수리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,437201201
20,32817,437201201,속리산_천황봉,만수리구간, ,1.69,쉬움,30,21, , , , , ,2016-12-31,437201201
21,32818,437201201,속리산_천황봉,상오리구간, ,2.96,쉬움,111,78, , , , , ,2016-12-31,437201201
22,32819,437201201,속리산_천황봉,도화리구간, ,0.66,쉬움,12,8, , , , , ,2016-12-31,437201201
23,32820,437201201,속리산_천황봉,사내리구간, ,7.22,쉬움,127,89, , , , , ,2016-12-31,437201201
24,32821,437201201,속리산_천황봉,장암리구간, ,0.07,중간,1,1, , , , , ,2016-12-31,437201201
