FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,32831,469103001,송공산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2612993100
1,32832,469103001,송공산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2612993100
2,32833,469103001,송공산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,2612993100
3,32834,469103001,송공산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,2612993100
4,32835,469103001,송공산, , ,2.02,쉬움,36,25, , , , , ,2016-12-31,2612993100
5,32836,469103001,송공산, , ,0.75,쉬움,13,9, , , , , ,2016-12-31,2612993100
6,32837,469103001,송공산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2612993100
7,32838,469103001,송공산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2612993100
8,32839,469103001,송공산, , ,0.0,쉬움,1,0, , , , , ,2016-12-31,2612993100
9,32840,469103001,송공산,송공리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,2612993100
10,32841,469103001,송공산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2612993100
11,32842,469103001,송공산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2612993100
12,32843,469103001,송공산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2612993100
13,32844,469103001,송공산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2612993100
14,32845,469103001,송공산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2612993100
15,32846,469103001,송공산, , ,1.4,쉬움,25,17, , , , , ,2016-12-31,2612993100
16,32847,469103001,송공산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2612993100
17,32848,469103001,송공산,송공리구간, ,0.6,쉬움,11,7, , , , , ,2016-12-31,2612993100
18,32849,469103001,송공산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,2612993100
19,32850,469103001,송공산,송공리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,2612993100
