FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,32851,421903301,송내산,장성동구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,421903301
1,32852,421903301,송내산,장성동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,421903301
2,32853,421903301,송내산,문곡동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,421903301
3,32854,421903301,송내산,문곡동구간, ,0.58,쉬움,10,7, , , , , ,2016-12-31,421903301
4,32855,421903301,송내산,장성동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,421903301
5,32856,421903301,송내산,장성동구간, ,0.07,중간,1,1, , , , , ,2016-12-31,421903301
6,32857,421903301,송내산,문곡동구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,421903301
7,32858,421903301,송내산,문곡동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,421903301
8,32859,421903301,송내산,장성동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,421903301
9,32860,421903301,송내산,장성동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,421903301
10,32861,421903301,송내산,장성동구간, ,0.66,쉬움,12,8, , , , , ,2016-12-31,421903301
11,32862,421903301,송내산,장성동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,421903301
12,32863,421903301,송내산,장성동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,421903301
13,32864,421903301,송내산,문곡동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,421903301
14,32865,421903301,송내산,문곡동구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,421903301
15,32866,421903301,송내산,장성동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,421903301
16,32867,421903301,송내산,장성동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,421903301
17,32868,421903301,송내산,문곡동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,421903301
18,32869,421903301,송내산,장성동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,421903301
19,32870,421903301,송내산,장성동구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,421903301
20,32871,421903301,송내산,문곡동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,421903301
21,32872,421903301,송내산,장성동구간, ,1.11,쉬움,20,14, , , , , ,2016-12-31,421903301
22,32873,421903301,송내산,장성동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,421903301
23,32874,421903301,송내산,장성동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,421903301
24,32875,421903301,송내산,장성동구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,421903301
25,32876,421903301,송내산,장성동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,421903301
26,32877,421903301,송내산,장성동구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,421903301
27,32878,421903301,송내산,장성동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,421903301
28,32879,421903301,송내산,문곡동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,421903301
29,32880,421903301,송내산,장성동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,421903301
30,32881,421903301,송내산,문곡동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,421903301
31,32882,421903301,송내산,문곡동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,421903301
32,32883,421903301,송내산,장성동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,421903301
33,32884,421903301,송내산,문곡동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,421903301
34,32885,421903301,송내산,문곡동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,421903301
35,32886,421903301,송내산,장성동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,421903301
36,32887,421903301,송내산,문곡동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,421903301
37,32888,421903301,송내산,문곡동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,421903301
38,32889,421903301,송내산,문곡동구간, ,0.0,쉬움,1,0, , , , , ,2016-12-31,421903301
39,32890,421903301,송내산,문곡동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,421903301
40,32891,421903301,송내산,장성동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,421903301
41,32892,421903301,송내산,문곡동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,421903301
42,32893,421903301,송내산,문곡동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,421903301
43,32894,421903301,송내산,문곡동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,421903301
