FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,33013,471305801,송화산,충효동구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,2702470100
1,33014,471305801,송화산,충효동구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,2702470100
2,33015,471305801,송화산,충효동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,2702470100
3,33016,471305801,송화산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,2702470100
4,33017,471305801,송화산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2702470100
5,33018,471305801,송화산,석장동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,2702470100
6,33019,471305801,송화산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2702470100
7,33020,471305801,송화산,석장동구간, ,1.3,쉬움,24,17, , , , , ,2016-12-31,2702470100
8,33021,471305801,송화산, , ,0.4,쉬움,7,5, , , , , ,2016-12-31,2702470100
9,33022,471305801,송화산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2702470100
10,33023,471305801,송화산, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,2702470100
11,33024,471305801,송화산,석장동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,2702470100
12,33025,471305801,송화산,석장동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,2702470100
13,33026,471305801,송화산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2702470100
14,33027,471305801,송화산, , ,0.78,쉬움,14,10, , , , , ,2016-12-31,2702470100
15,33028,471305801,송화산,충효동구간, ,1.04,쉬움,26,18, , , , , ,2016-12-31,2702470100
16,33029,471305801,송화산,충효동구간, ,1.01,쉬움,18,12, , , , , ,2016-12-31,2702470100
17,33030,471305801,송화산, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,2702470100
18,33031,471305801,송화산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2702470100
19,33032,471305801,송화산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2702470100
20,33033,471305801,송화산, , ,3.29,쉬움,58,41, , , , , ,2016-12-31,2702470100
