FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,33094,488808001,수도산,수도산-단지봉구간, ,1.65,쉬움,29,20, , , , , ,2016-12-31,2802011100
1,33095,488808001,수도산,수재길구간, ,1.02,쉬움,18,13, , , , , ,2016-12-31,2802011100
2,33096,488808001,수도산,수재길구간, ,0.86,쉬움,15,11, , , , , ,2016-12-31,2802011100
3,33097,488808001,수도산,수재길구간, ,3.26,쉬움,58,40, , , , , ,2016-12-31,2802011100
4,33098,488808001,수도산,수도산-단지봉구간, ,1.61,쉬움,28,20, , , , , ,2016-12-31,2802011100
5,33099,488808001,수도산,수재길구간, ,1.83,쉬움,32,23, , , , , ,2016-12-31,2802011100
6,33100,488808001,수도산,수재길구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,2802011100
7,33101,488808001,수도산,우두령-수도산구간, ,4.04,쉬움,71,50, , , , , ,2016-12-31,2802011100
8,33102,488808001,수도산,구곡령-단지봉구간, ,2.7,쉬움,58,41, , , , , ,2016-12-31,2802011100
9,33103,488808001,수도산,고비길구간, ,4.72,쉬움,177,124, , , , , ,2016-12-31,2802011100
10,33104,488808001,수도산,수재길구간, ,1.78,쉬움,67,47, , , , , ,2016-12-31,2802011100
