FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,33665,468101701,수인산,지로리구간,병풍바위,3.33,쉬움,59,41,토사, , , , ,2016-12-31,468101701
1,33666,468101701,수인산,지로리구간,전라병영성지/수인산성,1.97,쉬움,35,24,토사, , , , ,2016-12-31,468101701
2,33667,468101701,수인산,지로리구간, ,0.43,쉬움,8,5,토사, , , , ,2016-12-31,468101701
3,33668,468101701,수인산,지로리구간, ,0.28,쉬움,5,3,토사, , , , ,2016-12-31,468101701
4,33669,468101701,수인산,지로리구간, ,0.83,쉬움,15,10,토사, , , , ,2016-12-31,468101701
5,33670,468101701,수인산,지로리구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,468101701
6,33671,468101701,수인산,지로리구간, ,1.66,쉬움,29,21,토사, , , , ,2016-12-31,468101701
7,33672,468101701,수인산,지로리구간, ,0.3,쉬움,5,4,토사, , , , ,2016-12-31,468101701
8,33673,468101701,수인산,지로리구간, ,0.45,쉬움,8,6,토사, , , , ,2016-12-31,468101701
9,33674,468101701,수인산,지로리구간, ,1.43,쉬움,25,18,토사, , , , ,2016-12-31,468101701
10,33675,468101701,수인산,지로리구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,468101701
11,33676,468101701,수인산,지로리구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,468101701
12,33677,468101701,수인산,지로리구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,468101701
13,33678,468101701,수인산,지로리구간, ,0.47,쉬움,8,6,토사, , , , ,2016-12-31,468101701
