FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,33699,414602401,수정산,가좌리구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,414611701
1,33700,414602401,수정산,가좌리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,414611701
2,33701,414602401,수정산,근곡리구간, ,0.63,쉬움,11,8, , , , , ,2016-12-31,414611701
3,33702,414602401,수정산,가창리구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,414611701
4,33703,414602401,수정산,가창리구간, ,0.58,쉬움,10,7, , , , , ,2016-12-31,414611701
5,33704,414602401,수정산,맹리구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,414611701
6,33705,414602401,수정산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,2136071800
7,33706,414602401,수정산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2136071800
8,33707,414602401,수정산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2136071800
9,33708,414602401,수정산, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,2136071800
10,33709,414602401,수정산,가창리구간, ,1.18,쉬움,22,15, , , , , ,2016-12-31,2136071800
11,33710,414602401,수정산,가좌리구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,2136071800
12,33711,414602401,수정산,가창리구간, ,0.76,쉬움,13,9,토사, , , , ,2016-12-31,2136071800
13,33712,414602401,수정산,수정사구간, ,0.7,쉬움,12,9, , , , , ,2016-12-31,2136071800
14,33713,414602401,수정산,가창리구간, ,0.6,쉬움,11,7, , , , , ,2016-12-31,2136071800
15,33714,414602401,수정산,맹리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,2136071800
16,33715,414602401,수정산,맹리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,2136071800
17,33716,414602401,수정산,가좌리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,2136071800
18,33717,414602401,수정산,가좌리구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,2136071800
19,33718,414602401,수정산,맹리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,2136071800
20,33719,414602401,수정산,가창리구간, ,0.11,쉬움,2,1,토사, , , , ,2016-12-31,2136071800
21,33720,414602401,수정산,가창리구간, ,0.52,쉬움,9,6,토사, , , , ,2016-12-31,2136071800
