FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,33741,488204701,수태산, , ,0.7,쉬움,12,9,토사, , , , ,2016-12-31,488204701
1,33742,488204701,수태산, , ,1.06,쉬움,19,13,토사, , , , ,2016-12-31,488204701
2,33743,488204701,수태산, , ,0.84,쉬움,15,10,토사, , , , ,2016-12-31,488204701
3,33744,488204701,수태산, , ,0.32,쉬움,6,4,토사, , , , ,2016-12-31,488204701
4,33745,488204701,수태산,무선리구간, ,0.28,중간,5,3,토사, , , , ,2016-12-31,488204701
5,33746,488204701,수태산, , ,0.54,쉬움,10,7,토사, , , , ,2016-12-31,488204701
6,33747,488204701,수태산, , ,0.81,쉬움,14,10,토사, , , , ,2016-12-31,488204701
7,33748,488204701,수태산, , ,0.95,쉬움,17,12,토사, , , , ,2016-12-31,488204701
8,33749,488204701,수태산,무선리구간, ,1.08,쉬움,19,13,토사, , , , ,2016-12-31,488204701
9,33750,488204701,수태산, , ,0.36,쉬움,6,4,토사, , , , ,2016-12-31,488204701
10,33751,488204701,수태산,무선리구간, ,0.97,쉬움,17,12,토사, , , , ,2016-12-31,488204701
11,33752,488204701,수태산,척번정리구간,척정번리면소재지-정상-수태재,0.82,쉬움,14,10,토사, , , , ,2016-12-31,488204701
12,33753,488204701,수태산,청량사입구구간, ,1.07,쉬움,23,16,토사, , , , ,2016-12-31,488204701
