FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,33867,468402101,승달산,월선리구간, ,1.35,쉬움,24,17, , , , , ,2016-12-31,468402101
1,33868,468402101,승달산,월선리구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,468402101
2,33869,468402101,승달산,월선리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,468402101
3,33870,468402101,승달산,도림리구간, ,0.56,쉬움,10,7, , , , , ,2016-12-31,468402101
4,33871,468402101,승달산,도림리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,468402101
5,33872,468402101,승달산,도림리구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,468402101
6,33873,468402101,승달산,도림리구간, ,0.96,쉬움,17,12, , , , , ,2016-12-31,468402101
7,33874,468402101,승달산,도림리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,468402101
8,33875,468402101,승달산,도림리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,468402101
9,33876,468402101,승달산,도림리구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,468402101
10,33877,468402101,승달산,도림리구간, ,1.47,쉬움,26,18, , , , , ,2016-12-31,468402101
11,33878,468402101,승달산,도림리구간, ,0.67,쉬움,12,8, , ,Y, , ,2016-12-31,468402101
12,33879,468402101,승달산,달산리구간, ,0.53,쉬움,9,7, , ,Y, , ,2016-12-31,468402101
13,33880,468402101,승달산,달산리구간, ,1.27,쉬움,22,16, , ,Y, , ,2016-12-31,468402101
14,33881,468402101,승달산,도림리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,468402101
15,33882,468402101,승달산,도림리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,468402101
16,33883,468402101,승달산,도림리구간, ,1.43,쉬움,25,18, , , , , ,2016-12-31,468402101
17,33884,468402101,승달산,태봉리구간, ,0.99,쉬움,17,12, , ,Y, , ,2016-12-31,468402101
18,33885,468402101,승달산,태봉리구간, ,0.32,쉬움,6,4, , ,Y, , ,2016-12-31,468402101
19,33886,468402101,승달산,태봉리구간, ,1.12,쉬움,20,14, , ,Y, , ,2016-12-31,468402101
20,33887,468402101,승달산,태봉리구간, ,1.87,쉬움,33,23, , , , , ,2016-12-31,468402101
21,33888,468402101,승달산,태봉리구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,468402101
22,33889,468402101,승달산,도림리구간, ,3.12,쉬움,55,39, , , , , ,2016-12-31,468402101
23,33890,468402101,승달산,도림리구간, ,1.01,쉬움,18,12, , , , , ,2016-12-31,468402101
24,33891,468402101,승달산,달산리구간, ,3.65,쉬움,64,45, , , , , ,2016-12-31,468402101
25,33892,468402101,승달산,월선리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,468402101
26,33893,468402101,승달산,도림리구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,468402101
27,33894,468402101,승달산,도림리구간, ,1.33,쉬움,23,16, , , , , ,2016-12-31,468402101
28,33895,468402101,승달산,월선리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,468402101
29,33896,468402101,승달산,월선리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,468402101
30,33897,468402101,승달산,도림리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,468402101
