FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,33910,488702401,승안산,우명리구간, ,2.24,쉬움,40,28,토사/암반, , , , ,2016-12-31,488702401
1,33911,488702401,승안산,우명리구간, ,1.38,쉬움,35,24,토사/암반, , , , ,2016-12-31,488702401
2,33912,488702401,승안산,우명리구간, ,0.05,쉬움,1,1,토사/암반, , , , ,2016-12-31,488702401
3,33913,488702401,승안산,우명리구간, ,0.05,쉬움,1,1,토사/암반, , , , ,2016-12-31,488702401
4,33914,488702401,승안산,우명리구간, ,0.04,쉬움,1,0,토사/암반, , , , ,2016-12-31,488702401
5,33915,488702401,승안산,우명리구간, ,0.06,쉬움,1,1,토사/암반, , , , ,2016-12-31,488702401
6,33916,488702401,승안산,임도구간, ,1.0,쉬움,18,12,시멘트, , , , ,2016-12-31,488702401
7,33917,488702401,승안산,우명리구간, ,0.96,쉬움,17,12,토사/암반, , , , ,2016-12-31,488702401
8,33918,488702401,승안산,우명리구간, ,0.02,쉬움,1,0,토사/암반, , , , ,2016-12-31,488702401
9,33919,488702401,승안산,우명리구간,승안사지3층석탑,0.15,쉬움,3,2,토사/암반, , , , ,2016-12-31,488702401
10,33920,488702401,승안산,우명리구간, ,0.26,쉬움,5,3,토사/암반, , , , ,2016-12-31,488702401
11,33921,488702401,승안산,우명리구간, ,0.2,쉬움,4,2,토사/암반, , , , ,2016-12-31,488702401
12,33922,488702401,승안산,우명리구간, ,0.24,쉬움,4,3,토사/암반, , , , ,2016-12-31,488702401
13,33923,488702401,승안산,우명리구간, ,0.41,쉬움,7,5,토사/암반, , , , ,2016-12-31,488702401
14,33924,488702401,승안산,우명리구간, ,0.04,쉬움,1,0,토사/암반, , , , ,2016-12-31,488702401
15,33925,488702401,승안산,우명리구간, ,0.05,쉬움,1,1,토사/암반, , , , ,2016-12-31,488702401
16,33926,488702401,승안산,우명리구간, ,0.1,쉬움,2,1,토사/암반, , , , ,2016-12-31,488702401
17,33927,488702401,승안산,우명리구간, ,0.03,쉬움,1,0,토사/암반, , , , ,2016-12-31,488702401
18,33928,488702401,승안산,우명리구간, ,0.03,쉬움,1,0,토사/암반, , , , ,2016-12-31,488702401
19,33929,488702401,승안산,우명리구간, ,0.65,쉬움,11,8,토사/암반, , , , ,2016-12-31,488702401
20,33930,488702401,승안산,우명리구간,승안사석조여래좌상,0.04,쉬움,1,0,토사/암반, , , , ,2016-12-31,488702401
21,33931,488702401,승안산,우명리구간,승안사지3층석탑,0.07,쉬움,1,1,토사/암반, , , , ,2016-12-31,488702401
22,33932,488702401,승안산,우명리구간, ,0.14,쉬움,2,2,토사/암반, , , , ,2016-12-31,488702401
23,33933,488702401,승안산,우명리구간, ,0.2,쉬움,4,2,토사/암반, , , , ,2016-12-31,488702401
24,33934,488702401,승안산,우명리구간, ,0.39,쉬움,7,5,토사/암반, , , , ,2016-12-31,488702401
25,33935,488702401,승안산,우명리구간, ,0.15,쉬움,3,2,토사/암반, , , , ,2016-12-31,488702401
26,33936,488702401,승안산,우명리구간, ,0.28,쉬움,5,3,토사/암반, , , , ,2016-12-31,488702401
27,33937,488702401,승안산,우명리구간, ,0.16,쉬움,3,2,토사/암반, , , , ,2016-12-31,488702401
28,33938,488702401,승안산,우명리구간, ,0.05,쉬움,1,1,토사/암반, , , , ,2016-12-31,488702401
29,33939,488702401,승안산,우명리구간, ,0.12,쉬움,2,1,토사/암반, , , , ,2016-12-31,488702401
30,33940,488702401,승안산,우명리구간, ,0.09,쉬움,2,1,토사/암반, , , , ,2016-12-31,488702401
31,33941,488702401,승안산,우명리구간, ,0.69,쉬움,12,9,토사/암반, , , , ,2016-12-31,488702401
32,33942,488702401,승안산,우명리구간, ,0.21,쉬움,4,3,토사/암반, , , , ,2016-12-31,488702401
33,33943,488702401,승안산,도북리구간, ,0.03,쉬움,1,0,토사/암반, , , , ,2016-12-31,488702401
34,33944,488702401,승안산,우명리구간, ,0.05,쉬움,1,1,토사/암반, , , , ,2016-12-31,488702401
35,33945,488702401,승안산,우명리구간, ,0.12,쉬움,2,1,토사/암반, , , , ,2016-12-31,488702401
36,33946,488702401,승안산,우명리구간,묘소,0.14,쉬움,2,2,토사/암반, , , , ,2016-12-31,488702401
37,33947,488702401,승안산,우명리구간, ,0.03,쉬움,1,0,토사/암반, , , , ,2016-12-31,488702401
38,33948,488702401,승안산,우명리구간, ,0.11,쉬움,2,1,토사/암반, , , , ,2016-12-31,488702401
39,33949,488702401,승안산,도북리구간, ,0.06,쉬움,1,1,토사/암반, , , , ,2016-12-31,488702401
40,33950,488702401,승안산,우명리구간, ,0.1,중간,2,1,토사/암반, , , , ,2016-12-31,488702401
41,33951,488702401,승안산,우명리구간, ,0.06,쉬움,1,1,토사/암반, , , , ,2016-12-31,488702401
42,33952,488702401,승안산,우명리구간, ,0.02,쉬움,1,0,토사/암반, , , , ,2016-12-31,488702401
