FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,34117,478502401,시묘산,남계리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,478502401
1,34118,478502401,시묘산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,478502401
2,34119,478502401,시묘산,복성리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,478502401
3,34120,478502401,시묘산,복성리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,478502401
4,34121,478502401,시묘산, , ,0.93,쉬움,16,11, , , , , ,2016-12-31,478502401
5,34122,478502401,시묘산, , ,1.14,쉬움,29,20, , , , , ,2016-12-31,478502401
6,34123,478502401,시묘산, , ,0.68,쉬움,12,8, , , , , ,2016-12-31,478502401
7,34124,478502401,시묘산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2722991800
8,34125,478502401,시묘산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2722991800
9,34126,478502401,시묘산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2722991800
10,34127,478502401,시묘산,남계리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,2722991800
11,34128,478502401,시묘산,남계리구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,2722991800
12,34129,478502401,시묘산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2722991800
13,34130,478502401,시묘산,복성리구간, ,0.6,쉬움,11,8, , , , , ,2016-12-31,2722991800
14,34131,478502401,시묘산,복성리구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,2722991800
15,34132,478502401,시묘산,남계리구간, ,0.84,쉬움,15,10, , , , , ,2016-12-31,2722991800
16,34133,478502401,시묘산,복성리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,2722991800
17,34134,478502401,시묘산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2722991800
18,34135,478502401,시묘산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2722991800
