FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,34215,301100103,식장산둘레길,대성동구간, ,1.29,쉬움,28,19, , , , , ,2016-12-31,301100103
1,34216,301100103,식장산둘레길,대성동구간, ,1.94,쉬움,34,24, , , , , ,2016-12-31,301100103
2,34217,301100103,식장산둘레길,대성동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,301100103
3,34218,301100103,식장산둘레길,판암동구간, ,1.22,쉬움,22,15, , , , , ,2016-12-31,301100103
4,34219,301100103,식장산둘레길,판암동구간, ,0.82,쉬움,14,10, , , , , ,2016-12-31,301100103
5,34220,301100103,식장산둘레길,판암동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,301100103
6,34221,301100103,식장산둘레길,대성동구간,육각정,0.66,쉬움,12,8, , , , , ,2016-12-31,301100103
7,34222,301100103,식장산둘레길,판암동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,301100103
8,34223,301100103,식장산둘레길,삼정동구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,301100103
9,34224,301100103,식장산둘레길,삼정동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,301100103
10,34225,301100103,식장산둘레길,삼정동구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,301100103
11,34226,301100103,식장산둘레길,가오동-세천동구간,소봉분지,0.59,쉬움,11,8, , , , , ,2016-12-31,301100103
12,34227,301100103,식장산둘레길,가오동-세천동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,301100103
13,34228,301100103,식장산둘레길,판암동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,301100103
14,34229,301100103,식장산둘레길,판암동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,301100103
15,34230,301100103,식장산둘레길,가오동-세천동구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,301100103
16,34231,301100103,식장산둘레길,판암동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,301100103
17,34232,301100103,식장산둘레길,삼정동구간, ,0.83,쉬움,15,10, , , , , ,2016-12-31,301100103
18,34233,301100103,식장산둘레길,대성동구간, ,0.96,쉬움,17,12, , , , , ,2016-12-31,301100103
19,34234,301100103,식장산둘레길,대성동구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,301100103
20,34235,301100103,식장산둘레길,대성동구간, ,1.31,쉬움,23,16, , , , , ,2016-12-31,301100103
21,34236,301100103,식장산둘레길,대성동구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,301100103
22,34237,301100103,식장산둘레길,삼정동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,301100103
23,34238,301100103,식장산둘레길,낭월동구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,301100103
24,34239,301100103,식장산둘레길,낭월동구간, ,0.62,쉬움,11,8, , , , , ,2016-12-31,301100103
25,34240,301100103,식장산둘레길,낭월동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,301100103
26,34241,301100103,식장산둘레길,낭월동구간, ,2.17,쉬움,38,27, , , , , ,2016-12-31,301100103
27,34242,301100103,식장산둘레길,삼정동구간, ,0.76,쉬움,13,9, , , , , ,2016-12-31,301100103
28,34243,301100103,식장산둘레길,삼정동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,301100103
29,34244,301100103,식장산둘레길,삼정동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,301100103
30,34245,301100103,식장산둘레길,삼정동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,301100103
31,34246,301100103,식장산둘레길,삼정동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,301100103
32,34247,301100103,식장산둘레길,삼정동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,301100103
33,34248,301100103,식장산둘레길,삼정동구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,301100103
34,34249,301100103,식장산둘레길,삼정동구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,301100103
35,34250,301100103,식장산둘레길,삼정동구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,301100103
36,34251,301100103,식장산둘레길,세천동구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,301100103
37,34252,301100103,식장산둘레길,삼정동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,301100103
38,34253,301100103,식장산둘레길,삼정동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,301100103
39,34254,301100103,식장산둘레길,삼정동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,301100103
40,34255,301100103,식장산둘레길,삼정동구간, ,1.13,쉬움,20,14, , , , , ,2016-12-31,301100103
41,34256,301100103,식장산둘레길,삼정동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301100103
42,34257,301100103,식장산둘레길,대성동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,301100103
43,34258,301100103,식장산둘레길,삼정동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301100103
44,34259,301100103,식장산둘레길,삼정동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,301100103
45,34260,301100103,식장산둘레길,세천동구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,301100103
46,34261,301100103,식장산둘레길,삼정동구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,301100103
47,34262,301100103,식장산둘레길,대성동구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,301100103
48,34263,301100103,식장산둘레길,세천동구간, ,1.67,쉬움,29,21, , , , , ,2016-12-31,301100103
