FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,34574,482502701,신어산,불암동구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,482502701
1,34575,482502701,신어산,수안리구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,482502701
2,34576,482502701,신어산,불암동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,482502701
3,34577,482502701,신어산,불암동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,482502701
4,34578,482502701,신어산,수안리구간, ,0.68,쉬움,13,9, , , , , ,2016-12-31,482502701
5,34579,482502701,신어산,수안리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,482502701
6,34580,482502701,신어산,주중리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,482502701
7,34581,482502701,신어산,수안리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,482502701
8,34582,482502701,신어산,지내동구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,482502701
9,34583,482502701,신어산,지내동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,482502701
10,34584,482502701,신어산,삼방동구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,482502701
11,34585,482502701,신어산,안동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,482502701
12,34586,482502701,신어산,수안리구간, ,1.4,쉬움,25,17, , , , , ,2016-12-31,482502701
13,34587,482502701,신어산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,482502701
14,34588,482502701,신어산,안동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,482502701
15,34589,482502701,신어산,안동구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,482502701
16,34590,482502701,신어산,삼방동구간, ,0.68,쉬움,12,8, , , , , ,2016-12-31,482502701
17,34591,482502701,신어산,삼방동구간, ,0.75,쉬움,14,10, , , , , ,2016-12-31,482502701
18,34592,482502701,신어산,삼방동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,482502701
19,34593,482502701,신어산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,482502701
20,34594,482502701,신어산,삼방동구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,482502701
21,34595,482502701,신어산,삼방동구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,482502701
22,34596,482502701,신어산,주동리구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,482502701
23,34597,482502701,신어산,주동리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,482502701
24,34598,482502701,신어산,삼방동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,482502701
25,34599,482502701,신어산,주동리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,482502701
26,34600,482502701,신어산,삼방동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,482502701
27,34601,482502701,신어산,삼방동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,482502701
28,34602,482502701,신어산,삼방동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,482502701
29,34603,482502701,신어산, , ,0.54,쉬움,10,7, , , , , ,2016-12-31,482502701
30,34604,482502701,신어산,삼방동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,482502701
31,34605,482502701,신어산,삼방동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,482502701
32,34606,482502701,신어산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,482502701
33,34607,482502701,신어산,삼방동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,482502701
34,34608,482502701,신어산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,482502701
35,34609,482502701,신어산,삼방동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,482502701
36,34610,482502701,신어산,삼방동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,482502701
37,34611,482502701,신어산,삼방동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,482502701
38,34612,482502701,신어산,삼방동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,482502701
39,34613,482502701,신어산,삼방동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,482502701
40,34614,482502701,신어산,매리구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,482502701
41,34615,482502701,신어산,나전리구간, ,3.63,쉬움,64,45, , , , , ,2016-12-31,482502701
42,34616,482502701,신어산,덕산리구간, ,0.98,쉬움,17,12, , , , , ,2016-12-31,482502701
43,34617,482502701,신어산,매리구간, ,0.94,쉬움,20,14, , , , , ,2016-12-31,482502701
44,34618,482502701,신어산,묵방리구간, ,1.17,쉬움,21,14, , , , , ,2016-12-31,482502701
45,34619,482502701,신어산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2804322200
46,34620,482502701,신어산, , ,0.97,쉬움,17,12, , , , , ,2016-12-31,2804322200
47,34621,482502701,신어산, , ,0.78,쉬움,14,10, , , , , ,2016-12-31,2804322200
48,34622,482502701,신어산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,2804322200
49,34623,482502701,신어산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2804322200
50,34624,482502701,신어산, , ,1.89,쉬움,33,23, , , , , ,2016-12-31,2804322200
51,34625,482502701,신어산, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,2804322200
52,34626,482502701,신어산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2804322200
53,34627,482502701,신어산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2804322200
54,34628,482502701,신어산, , ,0.76,쉬움,13,9, , , , , ,2016-12-31,2804322200
55,34629,482502701,신어산, , ,0.56,쉬움,10,7, , , , , ,2016-12-31,2804322200
56,34630,482502701,신어산,덕산리구간, ,1.6,쉬움,48,34, , , , , ,2016-12-31,2804322200
57,34631,482502701,신어산,덕산리구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,2804322200
58,34632,482502701,신어산,매리구간, ,3.12,쉬움,117,82, , , , , ,2016-12-31,2804322200
59,34633,482502701,신어산,매리구간, ,2.93,쉬움,88,62, , , , , ,2016-12-31,2804322200
60,34634,482502701,신어산,매리구간, ,3.42,쉬움,128,90, , , , , ,2016-12-31,2804322200
61,34635,482502701,신어산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2804322200
62,34636,482502701,신어산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2804322200
