FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,34941,263800601,아미산,장림동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,263800601
1,34942,263800601,아미산,다대동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,263800601
2,34943,263800601,아미산,다대동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,263800601
3,34944,263800601,아미산,다대동구간, ,0.76,쉬움,13,9, , , , , ,2016-12-31,263800601
4,34945,263800601,아미산,다대동구간,응봉봉수대,0.17,쉬움,3,2, , , , , ,2016-12-31,263800601
5,34946,263800601,아미산,다대동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,263800601
6,34947,263800601,아미산,다대동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,263800601
7,34948,263800601,아미산,다대동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,263800601
8,34949,263800601,아미산,다대동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,263800601
9,34950,263800601,아미산,장림동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,263800601
10,34951,263800601,아미산,장림동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,263800601
11,34952,263800601,아미산,다대동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,263800601
12,34953,263800601,아미산,다대동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,263800601
13,34954,263800601,아미산,다대동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,263800601
14,34955,263800601,아미산,장림동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,263800601
15,34956,263800601,아미산,장림동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,263800601
16,34957,263800601,아미산,장림동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,263800601
17,34958,263800601,아미산,장림동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,263800601
18,34959,263800601,아미산,장림동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,263800601
19,34960,263800601,아미산,장림동구간,동원로얄듀크,0.1,쉬움,2,1, , , , , ,2016-12-31,263800601
20,34961,263800601,아미산,장림동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,263800601
21,34962,263800601,아미산,장림동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,263800601
22,34963,263800601,아미산,장림동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,263800601
23,34964,263800601,아미산,다대동구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,263800601
24,34965,263800601,아미산,장림동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,263800601
25,34966,263800601,아미산,장림동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,263800601
26,34967,263800601,아미산,장림동구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,263800601
27,34968,263800601,아미산,장림동구간, ,0.05,중간,1,1, , , , , ,2016-12-31,263800601
28,34969,263800601,아미산,장림동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,263800601
29,34970,263800601,아미산,장림동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,263800601
30,34971,263800601,아미산,장림동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,263800601
31,34972,263800601,아미산,장림동구간,부산자동차고등학교,0.2,쉬움,4,2, , , , , ,2016-12-31,263800601
32,34973,263800601,아미산,장림동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,263800601
33,34974,263800601,아미산,장림동구간, ,0.62,쉬움,11,8, , , , , ,2016-12-31,263800601
34,34975,263800601,아미산,장림동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,263800601
35,34976,263800601,아미산,장림동구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,263800601
36,34977,263800601,아미산,장림동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,263800601
37,34978,263800601,아미산,장림동구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,263800601
38,34979,263800601,아미산,장림동구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,263800601
39,34980,263800601,아미산,장림동구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,263800601
40,34981,263800601,아미산,장림동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,263800601
41,34982,263800601,아미산,장림동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,263800601
42,34983,263800601,아미산,장림동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,263800601
43,34984,263800601,아미산,장림동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,263800601
44,34985,263800601,아미산,장림동구간, ,1.05,쉬움,19,13, , , , , ,2016-12-31,263800601
45,34986,263800601,아미산,다대동구간, ,0.92,쉬움,16,11, , , , , ,2016-12-31,263800601
46,34987,263800601,아미산,다대동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,263800601
47,34988,263800601,아미산,장림동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,263800601
48,34989,263800601,아미산,장림동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,263800601
49,34990,263800601,아미산,다대동구간, ,0.81,쉬움,14,10, , , , , ,2016-12-31,263800601
50,34991,263800601,아미산,다대동구간, ,0.81,쉬움,14,10, , , , , ,2016-12-31,263800601
51,34992,263800601,아미산,장림동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,263800601
52,34993,263800601,아미산,장림동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,263800601
53,34994,263800601,아미산,다대동구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,263800601
54,34995,263800601,아미산,장림동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,263800601
55,34996,263800601,아미산,장림동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,263800601
56,34997,263800601,아미산,다대동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,263800601
57,34998,263800601,아미산,다대동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,263800601
58,34999,263800601,아미산,다대동구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,263800601
59,35000,263800601,아미산,장림동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,263800601
60,35001,263800601,아미산,장림동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,263800601
