FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,35125,112150201,아차산,구의동구간, ,0.52,쉬움,9,6,토사, , , , ,2016-12-31,112150201
1,35126,112150201,아차산,중곡동구간, ,0.21,쉬움,4,3,토사, , , , ,2016-12-31,112150201
2,35127,112150201,아차산,중곡동구간, ,0.63,쉬움,11,8,토사, , , , ,2016-12-31,112150201
3,35128,112150201,아차산,구의동구간, ,0.2,쉬움,4,2,토사, , , , ,2016-12-31,112150201
4,35129,112150201,아차산,구의동구간, ,0.68,쉬움,12,8,토사, , , , ,2016-12-31,112150201
5,35130,112150201,아차산,중곡동구간, ,0.24,쉬움,4,3,토사, , , , ,2016-12-31,112150201
6,35131,112150201,아차산,중곡동구간, ,0.11,쉬움,2,1,토사, , , , ,2016-12-31,112150201
7,35132,112150201,아차산,중곡동구간, ,0.12,쉬움,2,1,토사, , , , ,2016-12-31,112150201
8,35133,112150201,아차산,중곡동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112150201
9,35134,112150201,아차산,중곡동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112150201
10,35135,112150201,아차산,구의동구간, ,0.34,쉬움,6,4,토사, , , , ,2016-12-31,112150201
11,35136,112150201,아차산,중곡동구간, ,0.39,중간,7,5,토사, , , , ,2016-12-31,112150201
12,35137,112150201,아차산,중곡동구간, ,0.08,쉬움,1,1,토사, , , , ,2016-12-31,112150201
13,35138,112150201,아차산,중곡동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112150201
14,35139,112150201,아차산,중곡동구간, ,0.33,쉬움,6,4,토사, , , , ,2016-12-31,112150201
15,35140,112150201,아차산,중곡동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112150201
16,35141,112150201,아차산,중곡동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112150201
17,35142,112150201,아차산,중곡동구간, ,0.17,쉬움,3,2,토사, , , , ,2016-12-31,112150201
18,35143,112150201,아차산,중곡동구간, ,0.08,쉬움,1,1,토사, , , , ,2016-12-31,112150201
19,35144,112150201,아차산,중곡동구간, ,0.17,쉬움,3,2,토사, , , , ,2016-12-31,112150201
20,35145,112150201,아차산,중곡동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,112150201
21,35146,112150201,아차산,중곡동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,112150201
22,35147,112150201,아차산,중곡동구간, ,0.14,쉬움,2,2,토사, , , , ,2016-12-31,112150201
23,35148,112150201,아차산,중곡동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,112150201
24,35149,112150201,아차산,중곡동구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,112150201
25,35150,112150201,아차산,중곡동구간, ,0.11,쉬움,2,1,토사, , , , ,2016-12-31,112150201
26,35151,112150201,아차산,중곡동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,112150201
27,35152,112150201,아차산,중곡동구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,112150201
28,35153,112150201,아차산,중곡동구간, ,0.06,쉬움,1,1,토사, , , , ,2016-12-31,112150201
29,35154,112150201,아차산,중곡동구간, ,0.15,쉬움,3,2,토사, , , , ,2016-12-31,112150201
30,35155,112150201,아차산,중곡동구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,112150201
31,35156,112150201,아차산,중곡동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112150201
32,35157,112150201,아차산,중곡동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112150201
33,35158,112150201,아차산,중곡동구간, ,0.06,쉬움,1,1,토사, , , , ,2016-12-31,112150201
34,35159,112150201,아차산,중곡동구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,112150201
35,35160,112150201,아차산,중곡동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112150201
36,35161,112150201,아차산,중곡동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,112150201
37,35162,112150201,아차산,중곡동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112150201
38,35163,112150201,아차산,중곡동구간, ,0.14,쉬움,2,2,토사, , , , ,2016-12-31,112150201
39,35164,112150201,아차산,중곡동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112150201
40,35165,112150201,아차산,중곡동구간, ,0.25,쉬움,4,3,토사, , , , ,2016-12-31,112150201
41,35166,112150201,아차산,중곡동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112150201
42,35167,112150201,아차산,중곡동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112150201
43,35168,112150201,아차산,중곡동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112150201
44,35169,112150201,아차산,중곡동구간, ,0.18,쉬움,3,2,토사, , , , ,2016-12-31,112150201
45,35170,112150201,아차산,중곡동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112150201
46,35171,112150201,아차산,중곡동구간, ,0.43,쉬움,8,5,토사, , , , ,2016-12-31,112150201
47,35172,112150201,아차산,중곡동구간, ,0.1,쉬움,2,1,토사, , , , ,2016-12-31,112150201
48,35173,112150201,아차산,중곡동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112150201
49,35174,112150201,아차산,중곡동구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,112150201
50,35175,112150201,아차산,중곡동구간, ,0.13,쉬움,2,2,토사, , , , ,2016-12-31,112150201
51,35176,112150201,아차산,중곡동구간, ,0.13,쉬움,2,2,토사, , , , ,2016-12-31,112150201
52,35177,112150201,아차산,중곡동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112150201
53,35178,112150201,아차산,중곡동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112150201
54,35179,112150201,아차산,구의동구간, ,0.15,쉬움,3,2,토사, , , , ,2016-12-31,112150201
55,35180,112150201,아차산,중곡동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112150201
56,35181,112150201,아차산,중곡동구간, ,0.12,쉬움,2,1,토사, , , , ,2016-12-31,112150201
57,35182,112150201,아차산,중곡동구간, ,0.13,쉬움,2,2,토사, , , , ,2016-12-31,112150201
58,35183,112150201,아차산,중곡동구간, ,0.11,쉬움,2,1,토사, , , , ,2016-12-31,112150201
59,35184,112150201,아차산,중곡동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112150201
60,35185,112150201,아차산,중곡동구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,112150201
61,35186,112150201,아차산,중곡동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112150201
62,35187,112150201,아차산,중곡동구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,112150201
63,35188,112150201,아차산,중곡동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112150201
64,35189,112150201,아차산,중곡동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112150201
65,35190,112150201,아차산,중곡동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,112150201
66,35191,112150201,아차산,중곡동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112150201
67,35192,112150201,아차산,중곡동구간, ,0.37,쉬움,7,5,토사, , , , ,2016-12-31,112150201
68,35193,112150201,아차산,중곡동구간, ,0.34,쉬움,6,4,토사, , , , ,2016-12-31,112150201
69,35194,112150201,아차산,중곡동구간, ,0.06,쉬움,1,1,토사, , , , ,2016-12-31,112150201
70,35195,112150201,아차산,중곡동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112150201
71,35196,112150201,아차산,중곡동구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,112150201
