FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,35378,267101101,아홉산,회동동구간, ,0.79,쉬움,14,10, , , , , ,2016-12-31,1202990300
1,35379,267101101,아홉산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,1202990300
2,35380,267101101,아홉산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,1202990300
3,35381,267101101,아홉산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,1202990300
4,35382,267101101,아홉산, , ,0.91,쉬움,16,11, , , , , ,2016-12-31,1202990300
5,35383,267101101,아홉산,회동동구간, ,0.52,중간,13,9, , , , , ,2016-12-31,1202990300
6,35384,267101101,아홉산,장전리구간, ,2.03,쉬움,61,43, , , , , ,2016-12-31,1202990300
7,35385,267101101,아홉산,회동동구간, ,0.48,쉬움,9,6, , , , , ,2016-12-31,1202990300
8,35386,267101101,아홉산, , ,1.41,쉬움,25,17, , , , , ,2016-12-31,1202990300
9,35387,267101101,아홉산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,1202990300
10,35388,267101101,아홉산,장전리구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,1202990300
11,35389,267101101,아홉산,회동동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,1202990300
12,35390,267101101,아홉산,회동동구간, ,0.23,중간,4,3, , , , , ,2016-12-31,1202990300
13,35391,267101101,아홉산,회동동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,1202990300
14,35392,267101101,아홉산,장전리구간, ,1.04,쉬움,18,13, , , , , ,2016-12-31,1202990300
15,35393,267101101,아홉산,장전리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,1202990300
16,35394,267101101,아홉산,오륜동구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,1202990300
17,35395,267101101,아홉산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,1202990300
18,35396,267101101,아홉산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,1202990300
19,35397,267101101,아홉산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,1202990300
20,35398,267101101,아홉산, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,1202990300
21,35399,267101101,아홉산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,1202990300
22,35400,267101101,아홉산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,1202990300
23,35401,267101101,아홉산, , ,1.29,쉬움,23,16, , , , , ,2016-12-31,1202990300
24,35402,267101101,아홉산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,1202990300
25,35403,267101101,아홉산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,1202990300
26,35404,267101101,아홉산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,1202990300
