FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,35499,421103301,안마산,정족리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,421103301
1,35500,421103301,안마산, , ,0.49,쉬움,9,6, , , , , ,2016-12-31,421103301
2,35501,421103301,안마산,정족리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,421103301
3,35502,421103301,안마산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,421103301
4,35503,421103301,안마산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,421103301
5,35504,421103301,안마산,학곡리구간, ,0.41,중간,8,5, , , , , ,2016-12-31,421103301
6,35505,421103301,안마산, , ,0.1,중간,2,1, , , , , ,2016-12-31,421103301
7,35506,421103301,안마산,학곡리구간, ,0.56,쉬움,10,7, , , , , ,2016-12-31,421103301
8,35507,421103301,안마산,학곡리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,421103301
9,35508,421103301,안마산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,421103301
10,35509,421103301,안마산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,421103301
11,35510,421103301,안마산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,421103301
12,35511,421103301,안마산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,421103301
13,35512,421103301,안마산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,421103301
14,35513,421103301,안마산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,421103301
15,35514,421103301,안마산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,421103301
16,35515,421103301,안마산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,421103301
17,35516,421103301,안마산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,421103301
18,35517,421103301,안마산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,421103301
19,35518,421103301,안마산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,421103301
20,35519,421103301,안마산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,421103301
21,35520,421103301,안마산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,421103301
22,35521,421103301,안마산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,421103301
23,35522,421103301,안마산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,421103301
24,35523,421103301,안마산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,421103301
25,35524,421103301,안마산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,421103301
26,35525,421103301,안마산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,421103301
27,35526,421103301,안마산, , ,0.0,쉬움,1,0, , , , , ,2016-12-31,421103301
28,35527,421103301,안마산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,421103301
29,35528,421103301,안마산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,421103301
30,35529,421103301,안마산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,421103301
31,35530,421103301,안마산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,421103301
32,35531,421103301,안마산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,421103301
33,35532,421103301,안마산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,421103301
34,35533,421103301,안마산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,421103301
35,35534,421103301,안마산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,421103301
36,35535,421103301,안마산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,421103301
37,35536,421103301,안마산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,421103301
38,35537,421103301,안마산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,421103301
39,35538,421103301,안마산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,421103301
40,35539,421103301,안마산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,421103301
41,35540,421103301,안마산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,421103301
42,35541,421103301,안마산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,421103301
43,35542,421103301,안마산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,421103301
44,35543,421103301,안마산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,421103301
45,35544,421103301,안마산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,421103301
46,35545,421103301,안마산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,421103301
47,35546,421103301,안마산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,421103301
48,35547,421103301,안마산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,421103301
49,35548,421103301,안마산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,421103301
50,35549,421103301,안마산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,421103301
51,35550,421103301,안마산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,421103301
52,35551,421103301,안마산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,421103301
53,35552,421103301,안마산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,421103301
54,35553,421103301,안마산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,421103301
