FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,35574,477502701,안봉산,방흥리구간, ,6.29,쉬움,111,78, , , , , ,2016-12-31,471131001
1,35575,477502701,안봉산, , ,1.48,쉬움,26,18, , , , , ,2016-12-31,471131001
2,35576,477502701,안봉산, , ,0.51,쉬움,9,6, , , , , ,2016-12-31,471131001
3,35577,477502701,안봉산, , ,2.89,쉬움,51,36, , , , , ,2016-12-31,471131001
4,35578,477502701,안봉산,두마리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,471131001
5,35579,477502701,안봉산, , ,3.26,쉬움,58,40, , , , , ,2016-12-31,471131001
6,35580,477502701,안봉산, , ,1.56,쉬움,28,19, , , , , ,2016-12-31,471131001
7,35581,477502701,안봉산, , ,2.28,쉬움,40,28, , , , , ,2016-12-31,471131001
8,35582,477502701,안봉산, , ,1.95,쉬움,34,24, , , , , ,2016-12-31,471131001
9,35583,477502701,안봉산, , ,0.87,쉬움,15,11, , , , , ,2016-12-31,471131001
10,35584,477502701,안봉산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,471131001
11,35585,477502701,안봉산,월매리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,477501901
