FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,36109,272600601,안산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,1307270600
1,36110,272600601,안산,범물동구간, ,0.87,쉬움,22,15, , , , , ,2016-12-31,1307270600
2,36111,272600601,안산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,1307270600
3,36112,272600601,안산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,1307270600
4,36113,272600601,안산,삼덕동구간, ,2.16,쉬움,38,27, , , , , ,2016-12-31,1307270600
5,36114,272600601,안산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,1307270600
6,36115,272600601,안산, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,1307270600
7,36116,272600601,안산,삼덕동구간, ,1.64,쉬움,62,43, , , , , ,2016-12-31,1307270600
8,36117,272600601,안산, , ,0.49,쉬움,9,6, , , , , ,2016-12-31,1307270600
9,36118,272600601,안산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,1307270600
10,36119,272600601,안산,노변동구간, ,1.31,쉬움,49,34, , , , , ,2016-12-31,1307270600
11,36120,272600601,안산, , ,0.54,쉬움,10,7, , , , , ,2016-12-31,1307270600
12,36121,272600601,안산, , ,0.47,쉬움,8,6, , , , , ,2016-12-31,1307270600
13,36122,272600601,안산,노변동구간, ,1.41,쉬움,25,17, , , , , ,2016-12-31,1307270600
14,36123,272600601,안산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,1307270600
15,36124,272600601,안산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,1307270600
16,36125,272600601,안산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,1307270600
17,36126,272600601,안산, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,1307270600
18,36127,272600601,안산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,1307270600
19,36128,272600601,안산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,1307270600
20,36129,272600601,안산, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,1307270600
21,36130,272600601,안산, , ,0.89,쉬움,16,11, , , , , ,2016-12-31,1307270600
22,36131,272600601,안산, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,1307270600
23,36132,272600601,안산, , ,0.57,쉬움,10,7, , , , , ,2016-12-31,1307270600
24,36133,272600601,안산, , ,0.95,쉬움,17,12, , , , , ,2016-12-31,1307270600
25,36134,272600601,안산, , ,0.76,쉬움,13,9, , , , , ,2016-12-31,1307270600
