FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,36713,483104201,앵산,석포리구간, ,1.95,쉬움,73,51, , , , , ,2016-12-31,2801133300
1,36714,483104201,앵산,유계리구간, ,2.24,쉬움,40,28, , , , , ,2016-12-31,2801133300
2,36715,483104201,앵산,한내리구간, ,1.88,쉬움,33,23, , , , , ,2016-12-31,2801133300
3,36716,483104201,앵산, , ,0.68,쉬움,12,8, , , , , ,2016-12-31,2801133300
4,36717,483104201,앵산, , ,0.59,중간,18,12, , , , , ,2016-12-31,2801133300
5,36718,483104201,앵산, , ,2.23,쉬움,56,39, , , , , ,2016-12-31,2801133300
6,36719,483104201,앵산, , ,2.49,쉬움,53,37, , , , , ,2016-12-31,2801133300
7,36720,483104201,앵산,유계리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,2801133300
8,36721,483104201,앵산,한내리구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,2801133300
9,36722,483104201,앵산,유계리구간, ,1.44,쉬움,25,18, , , , , ,2016-12-31,2801133300
