FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,36862,267102101,양달산,안평리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,267102101
1,36863,267102101,양달산,안평리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,267102101
2,36864,267102101,양달산,반송동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,267102101
3,36865,267102101,양달산,반송동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,267102101
4,36866,267102101,양달산,안평리구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,267102101
5,36867,267102101,양달산,반송동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,267102101
6,36868,267102101,양달산,반송동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,267102101
7,36869,267102101,양달산,안평리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,267102101
8,36870,267102101,양달산,안평리구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,267102101
9,36871,267102101,양달산,안평리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,267102101
10,36872,267102101,양달산,반송동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,267102101
11,36873,267102101,양달산,안평리구간, ,1.22,쉬움,22,15, , , , , ,2016-12-31,267102101
12,36874,267102101,양달산,안평리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,267102101
13,36875,267102101,양달산,안평리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,267102101
14,36876,267102101,양달산,안평리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,267102101
15,36877,267102101,양달산,안평리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,267102101
16,36878,267102101,양달산,안평리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,267102101
17,36879,267102101,양달산,안평리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,267102101
18,36880,267102101,양달산,안평리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,267102101
19,36881,267102101,양달산,안평리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,267102101
20,36882,267102101,양달산,안평리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,267102101
21,36883,267102101,양달산,반송동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,267102101
22,36884,267102101,양달산,반송동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,267102101
23,36885,267102101,양달산,반송동구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,267102101
24,36886,267102101,양달산,반송동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,267102101
25,36887,267102101,양달산,반송동구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,267102101
26,36888,267102101,양달산,반송동구간, ,0.81,쉬움,14,10, , , , , ,2016-12-31,267102101
27,36889,267102101,양달산,반송동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,267102101
28,36890,267102101,양달산,반송동구간, ,0.14,중간,2,2, , , , , ,2016-12-31,267102101
29,36891,267102101,양달산,반송동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,267102101
30,36892,267102101,양달산,반송동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,267102101
31,36893,267102101,양달산,안평리구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,267102101
32,36894,267102101,양달산,반송동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,267102101
33,36895,267102101,양달산,안평리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,267102101
34,36896,267102101,양달산,반송동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,267102101
35,36897,267102101,양달산,반송동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,267102101
36,36898,267102101,양달산,반송동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,267102101
37,36899,267102101,양달산,반송동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,267102101
38,36900,267102101,양달산,안평리구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,267102101
39,36901,267102101,양달산,반송동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,267102101
40,36902,267102101,양달산,반송동구간,송원초등학교,0.08,쉬움,1,1, , , , , ,2016-12-31,267102101
41,36903,267102101,양달산,반송동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,267102101
42,36904,267102101,양달산,반송동구간, ,0.67,쉬움,12,8, , , , , ,2016-12-31,267102101
43,36905,267102101,양달산,반송동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,267102101
44,36906,267102101,양달산,안평리구간, ,0.87,쉬움,15,11, , , , , ,2016-12-31,267102101
45,36907,267102101,양달산,반송동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,267102101
46,36908,267102101,양달산,반송동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,267102101
47,36909,267102101,양달산,내리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,267102101
48,36910,267102101,양달산,안평리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,267102101
49,36911,267102101,양달산,안평리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,267102101
50,36912,267102101,양달산,안평리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,267102101
51,36913,267102101,양달산,반송동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,267102101
52,36914,267102101,양달산,안평리구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,267102101
53,36915,267102101,양달산,반송동구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,267102101
54,36916,267102101,양달산,안평리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,267102101
55,36917,267102101,양달산,안평리구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,267102101
56,36918,267102101,양달산,안평리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,267102101
57,36919,267102101,양달산,안평리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,267102101
58,36920,267102101,양달산,안평리구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,267102101
59,36921,267102101,양달산,반송동구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,267102101
60,36922,267102101,양달산,반송동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,267102101
61,36923,267102101,양달산,안평리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,267102101
62,36924,267102101,양달산,안평리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,267102101
63,36925,267102101,양달산,안평리구간, ,0.08,중간,1,1, , , , , ,2016-12-31,267102101
64,36926,267102101,양달산,안평리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,267102101
65,36927,267102101,양달산,안평리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,267102101
66,36928,267102101,양달산,안평리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,267102101
67,36929,267102101,양달산,안평리구간,용덕사,0.68,쉬움,12,8, , , , , ,2016-12-31,267102101
68,36930,267102101,양달산,내리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,267102101
69,36931,267102101,양달산,내리구간,안적사,0.35,쉬움,6,4, , , , , ,2016-12-31,267102101
70,36932,267102101,양달산,대라리구간, ,2.29,쉬움,40,28, , , , , ,2016-12-31,267102101
71,36933,267102101,양달산,내리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,267102101
72,36934,267102101,양달산,안평리구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,267102101
73,36935,267102101,양달산,안평리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,267102101
74,36936,267102101,양달산,반송동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,267102101
75,36937,267102101,양달산,반송동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,267102101
76,36938,267102101,양달산,반송동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,267102101
77,36939,267102101,양달산,안평리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,267102101
78,36940,267102101,양달산,내리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,267102101
79,36941,267102101,양달산,내리구간, ,0.67,쉬움,12,8, , , , , ,2016-12-31,267102101
80,36942,267102101,양달산,안평리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,267102101
81,36943,267102101,양달산,안평리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,267102101
82,36944,267102101,양달산,안평리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,267102101
83,36945,267102101,양달산,반송동구간,운봉사,0.36,쉬움,6,4, , , , , ,2016-12-31,267102101
84,36946,267102101,양달산,안평리구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,267102101
85,36947,267102101,양달산,안평리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,267102101
86,36948,267102101,양달산,안평리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,267102101
87,36949,267102101,양달산,대라리구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,267102101
88,36950,267102101,양달산,안평리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,267102101
89,36951,267102101,양달산,내리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,267102101
90,36952,267102101,양달산,안평리구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,267102101
91,36953,267102101,양달산,안평리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,267102101
92,36954,267102101,양달산,반송동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,267102101
93,36955,267102101,양달산,안평리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,267102101
94,36956,267102101,양달산,반송동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,267102101
95,36957,267102101,양달산,반송동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,267102101
96,36958,267102101,양달산,반송동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,267102101
97,36959,267102101,양달산,반송동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,267102101
