FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,36966,413700701,양산봉, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,413700601
1,36967,413700701,양산봉, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,413700601
2,36968,413700701,양산봉, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,413700601
3,36969,413700701,양산봉, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,413700601
4,36970,413700701,양산봉, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,413700601
5,36971,413700701,양산봉, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,413700601
6,36972,413700701,양산봉,지곶동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,413700601
7,36973,413700701,양산봉, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,413700601
8,36974,413700701,양산봉,양산동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,413700601
9,36975,413700701,양산봉, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,413700601
10,36976,413700701,양산봉, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,413700601
11,36977,413700701,양산봉, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,413700601
12,36978,413700701,양산봉, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,413700601
13,36979,413700701,양산봉, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,413700601
14,36980,413700701,양산봉, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,413700601
15,36981,413700701,양산봉, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,413700601
16,36982,413700701,양산봉, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,413700601
17,36983,413700701,양산봉, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,413700601
18,36984,413700701,양산봉,지곶동구간, ,0.74,쉬움,13,9, , , , , ,2016-12-31,413700601
