FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,37514,487301501,여항산,여양리구간, ,1.94,쉬움,34,24, , , , , ,2016-12-31,481251001
1,37515,487301501,여항산,내곡리구간, ,1.79,쉬움,67,47, , , , , ,2016-12-31,2818101300
2,37516,487301501,여항산,외암리구간, ,0.98,쉬움,21,15, , , , , ,2016-12-31,2818101300
3,37517,487301501,여항산,주서리구간, ,1.66,쉬움,31,22, , , , , ,2016-12-31,2818101300
4,37518,487301501,여항산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2818101300
5,37519,487301501,여항산, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,2818101300
6,37520,487301501,여항산, , ,1.49,쉬움,26,18, , , , , ,2016-12-31,2818101300
7,37521,487301501,여항산, , ,1.53,쉬움,27,19, , , , , ,2016-12-31,2818101300
8,37522,487301501,여항산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2818101300
9,37523,487301501,여항산, , ,0.93,쉬움,16,11, , , , , ,2016-12-31,2818101300
10,37524,487301501,여항산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2818101300
11,37525,487301501,여항산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2818101300
12,37526,487301501,여항산, , ,0.51,쉬움,9,6, , , , , ,2016-12-31,2818101300
13,37527,487301501,여항산,파수리구간,미산마을-헬기장-정상-서북산정상-파산봉수대-청암마을,3.86,쉬움,145,101,화강암, , , , ,2016-12-31,2818101300
14,37528,487301501,여항산,주동리구간, ,3.29,쉬움,58,41, , , , , ,2016-12-31,2818101300
15,37529,487301501,여항산,주서리구간, ,2.34,쉬움,88,61, , , , , ,2016-12-31,2818101300
16,37530,487301501,여항산,주서리구간, ,2.4,쉬움,42,30, , , , , ,2016-12-31,2818101300
17,37531,487301501,여항산, , ,2.35,쉬움,41,29, , , , , ,2016-12-31,2818101300
18,37532,487301501,여항산, , ,2.96,쉬움,52,37, , , , , ,2016-12-31,2818101300
19,37533,487301501,여항산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2818101300
20,37534,487301501,여항산,파수리구간, ,3.74,쉬움,140,98, , , , , ,2016-12-31,2818101300
21,37535,487301501,여항산, , ,0.95,쉬움,17,12, , , , , ,2016-12-31,2818101300
22,37536,487301501,여항산,주동리구간, ,1.67,쉬움,42,29, , , , , ,2016-12-31,2818101300
23,37537,487301501,여항산,중산골구간, ,1.85,쉬움,69,49, , , , , ,2016-12-31,2818101300
24,37538,487301501,여항산,중산골구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,2818101300
25,37539,487301501,여항산,중산골구간, ,1.1,쉬움,19,14, , , , , ,2016-12-31,2818101300
26,37540,487301501,여항산,파수리구간, ,1.36,쉬움,24,17, , , , , ,2016-12-31,2818101300
27,37541,487301501,여항산,사촌리구간, ,0.0, ,0,0, , , , , ,2019-08-31, 
