FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,37701,418202901,연인산, , ,1.71,쉬움,30,21, , , , , ,2016-12-31,2101992500
1,37702,418202901,연인산,백둔리탐방로, ,1.0,쉬움,18,12, , , , , ,2016-12-31,2101992500
2,37703,418202901,연인산,백둔리구간, ,1.92,쉬움,34,24, , , , , ,2016-12-31,2101992500
3,37704,418202901,연인산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2101992500
4,37705,418202901,연인산,경반리탐방로, ,1.55,쉬움,27,19, , , , , ,2016-12-31,2101992500
5,37706,418202901,연인산,승안리구간, ,4.43,쉬움,83,58, , , , , ,2016-12-31,2101992500
6,37707,418202901,연인산, , ,2.33,쉬움,41,29, , , , , ,2016-12-31,2101992500
7,37708,418202901,연인산, , ,1.74,쉬움,31,21, , , , , ,2016-12-31,2101992500
8,37709,418202901,연인산, , ,1.11,쉬움,20,14, , , , , ,2016-12-31,2101992500
9,37710,418202901,연인산, , ,1.5,쉬움,26,19, , , , , ,2016-12-31,2101992500
10,37711,418202901,연인산, , ,0.98,쉬움,17,12, , , , , ,2016-12-31,2101992500
11,37712,418202901,연인산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,2101992500
12,37713,418202901,연인산,승안리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,2101992500
13,37714,418202901,연인산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2101992500
14,37715,418202901,연인산, , ,2.4,쉬움,72,50, , , , , ,2016-12-31,2101992500
15,37716,418202901,연인산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2101992500
16,37717,418202901,연인산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,2101992500
17,37718,418202901,연인산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,2101992500
18,37719,418202901,연인산, , ,1.52,쉬움,27,19, , , , , ,2016-12-31,2101992500
19,37720,418202901,연인산, , ,3.47,쉬움,61,43, , , , , ,2016-12-31,2101992500
20,37721,418202901,연인산, , ,0.64,쉬움,11,8, , , , , ,2016-12-31,2101992500
21,37722,418202901,연인산, , ,1.85,쉬움,33,23, , , , , ,2016-12-31,2101992500
22,37723,418202901,연인산, , ,0.72,쉬움,13,9, , , , , ,2016-12-31,2101992500
23,37724,418202901,연인산, , ,3.64,쉬움,64,45, , , , , ,2016-12-31,2101992500
24,37725,418202901,연인산,백둔리구간, ,0.62,쉬움,11,8, , , , , ,2016-12-31,2101992500
25,37726,418202901,연인산, , ,9.69,쉬움,171,120, , , , , ,2016-12-31,2101992500
26,37727,418202901,연인산,마일리구간, ,1.67,쉬움,63,44, , , , , ,2016-12-31,2101992500
27,37728,418202901,연인산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,2101992500
28,37729,418202901,연인산, , ,0.7,쉬움,12,9, , , , , ,2016-12-31,2101992500
29,37730,418202901,연인산, , ,3.61,쉬움,64,45, , , , , ,2016-12-31,2101992500
30,37731,418202901,연인산,경반리구간, ,5.04,쉬움,89,62, , , , , ,2016-12-31,2101992500
31,37732,418202901,연인산, , ,2.94,쉬움,52,36, , , , , ,2016-12-31,2101992500
32,37733,418202901,연인산,상판리구간, ,3.15,쉬움,56,39, , , , , ,2016-12-31,2101992500
33,37734,418202901,연인산,상판리구간, ,3.54,쉬움,133,93, , , , , ,2016-12-31,2101992500
34,37735,418202901,연인산, , ,0.93,쉬움,16,11, , , , , ,2016-12-31,2101992500
35,37736,418202901,연인산, , ,2.43,쉬움,43,30, , , , , ,2016-12-31,2101992500
