FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,37737,477502101,연점산, , ,0.62,쉬움,11,8, , , , , ,2016-12-31,2721031800
1,37738,477502101,연점산, , ,1.0,쉬움,18,12, , , , , ,2016-12-31,2721031800
2,37739,477502101,연점산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2721031800
3,37740,477502101,연점산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2721031800
4,37741,477502101,연점산,대사리구간, ,3.23,쉬움,57,40, , , , , ,2016-12-31,2721031800
5,37742,477502101,연점산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2721031800
6,37743,477502101,연점산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2721031800
7,37744,477502101,연점산, , ,0.95,쉬움,17,12, , , , , ,2016-12-31,2721031800
8,37745,477502101,연점산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,2721031800
9,37746,477502101,연점산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2721031800
10,37747,477502101,연점산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2721031800
11,37748,477502101,연점산, , ,2.5,쉬움,44,31, , , , , ,2016-12-31,2721031800
12,37749,477502101,연점산,송사리구간, ,2.99,쉬움,112,78, , , , , ,2016-12-31,2721031800
13,37750,477502101,연점산,송사리구간, ,3.07,쉬움,54,38, , , , , ,2016-12-31,2721031800
14,37751,477502101,연점산, , ,1.03,쉬움,18,13, , , , , ,2016-12-31,2721031800
15,37752,477502101,연점산,송사리구간, ,4.31,쉬움,76,53, , , , , ,2016-12-31,2721031800
16,37753,477502101,연점산,송사리구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,2721031800
