FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,38134,451302601,영병산,어은리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,451302601
1,38135,451302601,영병산,선제리구간, ,0.7,쉬움,12,9, , , , , ,2016-12-31,451302601
2,38136,451302601,영병산,선제리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,451302601
3,38137,451302601,영병산,오곡리구간, ,0.8,쉬움,14,10, , , , , ,2016-12-31,451302601
4,38138,451302601,영병산,선제리구간, ,0.62,쉬움,11,8, , , , , ,2016-12-31,451302601
5,38139,451302601,영병산,어은리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,451302601
6,38140,451302601,영병산,선제리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,451302601
7,38141,451302601,영병산,어은리구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,451302601
8,38142,451302601,영병산,오곡리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,451302601
9,38143,451302601,영병산,선제리구간, ,0.68,쉬움,12,8, , , , , ,2016-12-31,451302601
10,38144,451302601,영병산,선제리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,451302601
11,38145,451302601,영병산,선제리구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,451302601
12,38146,451302601,영병산,어은리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,451302601
13,38147,451302601,영병산,어은리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,451302601
14,38148,451302601,영병산,어은리구간, ,1.14,쉬움,20,14, , , , , ,2016-12-31,451302601
15,38149,451302601,영병산,어은리구간, ,0.72,쉬움,13,9, , , , , ,2016-12-31,451302601
16,38150,451302601,영병산,어은리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,451302601
17,38151,451302601,영병산,어은리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,451302601
18,38152,451302601,영병산,선제리구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,451302601
19,38153,451302601,영병산,선제리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,451302601
20,38154,451302601,영병산,선제리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,451302601
21,38155,451302601,영병산,어은리구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,451302601
22,38156,451302601,영병산,오곡리구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,451302601
23,38157,451302601,영병산,오곡리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,451302601
24,38158,451302601,영병산,오곡리구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,451302601
25,38159,451302601,영병산,오곡리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,451302601
26,38160,451302601,영병산,오곡리구간, ,2.44,쉬움,43,30, , , , , ,2016-12-31,451302601
27,38161,451302601,영병산,선제리구간, ,0.79,쉬움,14,10, , , , , ,2016-12-31,451302601
28,38162,451302601,영병산,어은리구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,451302601
29,38163,451302601,영병산,선제리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,451302601
30,38164,451302601,영병산,어은리구간, ,2.54,쉬움,45,31, , , , , ,2016-12-31,451302601
