FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,38198,411300101,영장산,태평동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,411310101
1,38199,411300101,영장산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,411310101
2,38200,411300101,영장산,태평동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,411310101
3,38201,411300101,영장산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,411310101
4,38202,411300101,영장산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,411310101
5,38203,411300101,영장산,복정동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,411310101
6,38204,411300101,영장산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,411310101
7,38205,411300101,영장산,태평동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,411310101
8,38206,411300101,영장산,복정동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,411310101
9,38207,411300101,영장산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,411310101
10,38208,411300101,영장산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,411310101
11,38209,411300101,영장산,복정동구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,411310101
12,38210,411300101,영장산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,411310101
