FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,38219,311401001,영축산,무거동구간, ,0.78,쉬움,14,10, , , , , ,2016-12-31,311401001
1,38220,311401001,영축산,무거동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,311401001
2,38221,311401001,영축산,무거동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,311401001
3,38222,311401001,영축산,율리구간,참샘약수터,0.51,쉬움,9,6, , , , , ,2016-12-31,311401001
4,38223,311401001,영축산,무거동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,311401001
5,38224,311401001,영축산,무거동구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,311401001
6,38225,311401001,영축산,무거동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,311401001
7,38226,311401001,영축산,무거동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,311401001
8,38227,311401001,영축산,굴화리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,311401001
9,38228,311401001,영축산,무거동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,311401001
10,38229,311401001,영축산,굴화리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,311401001
11,38230,311401001,영축산,무거동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,311401001
12,38231,311401001,영축산,무거동구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,311401001
13,38232,311401001,영축산,무거동구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,311401001
14,38233,311401001,영축산,무거동구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,311401001
15,38234,311401001,영축산,무거동구간, ,0.86,쉬움,15,11, , , , , ,2016-12-31,311401001
16,38235,311401001,영축산,굴화리구간, ,1.42,쉬움,36,25, , , , , ,2016-12-31,311401001
17,38236,311401001,영축산,굴화리구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,311401001
18,38237,311401001,영축산,무거동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,311401001
19,38238,311401001,영축산,굴화리구간, ,0.89,쉬움,17,12, , , , , ,2016-12-31,311401001
20,38239,311401001,영축산,굴화리구간, ,0.72,쉬움,13,9, , , , , ,2016-12-31,311401001
21,38240,311401001,영축산,무거동구간,참샘약수터,0.92,쉬움,20,14, , , , , ,2016-12-31,311401001
22,38241,311401001,영축산,무거동구간,참샘약수터,0.21,쉬움,4,3, , , , , ,2016-12-31,311401001
23,38242,311401001,영축산,굴화리구간,양육원입구,0.84,쉬움,15,10, , , , , ,2016-12-31,311401001
