FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,38336,461303201,영취산,월내동구간, ,0.82,중간,21,14, , , , , ,2016-12-31,2613243100
1,38337,461303201,영취산,상암동구간, ,2.85,쉬움,107,75, , , , , ,2016-12-31,2613243100
2,38338,461303201,영취산,중흥동구간, ,3.09,쉬움,116,81, , , , , ,2016-12-31,2613243100
3,38339,461303201,영취산,호명동구간, ,2.28,쉬움,43,30, , , , , ,2016-12-31,2613243100
4,38340,461303201,영취산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,2613243100
5,38341,461303201,영취산,중흥동구간, ,1.99,쉬움,60,42, , , , , ,2016-12-31,2613243100
6,38342,461303201,영취산,상암동구간, ,0.36,중간,7,5, , , , , ,2016-12-31,2613243100
7,38343,461303201,영취산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2613243100
8,38344,461303201,영취산, , ,0.54,쉬움,10,7, , , , , ,2016-12-31,2613243100
9,38345,461303201,영취산,중흥동구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,2613243100
10,38346,461303201,영취산,중흥동구간, ,0.18,중간,3,2, , , , , ,2016-12-31,2613243100
11,38347,461303201,영취산, , ,0.23,중간,4,3, , , , , ,2016-12-31,2613243100
12,38348,461303201,영취산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2613243100
13,38349,461303201,영취산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2613243100
14,38350,461303201,영취산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2613243100
15,38351,461303201,영취산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2613243100
16,38352,461303201,영취산,중흥동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,2613243100
17,38353,461303201,영취산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2613243100
18,38354,461303201,영취산,상암동구간, ,1.32,중간,50,35, , , , , ,2016-12-31,2613243100
19,38355,461303201,영취산,상암동구간, ,0.9,쉬움,16,11, , , , , ,2016-12-31,2613243100
