FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,38611,468402401,오룡산,임성리구간, ,0.85,쉬움,15,11, , , , , ,2016-12-31,468402401
1,38612,468402401,오룡산,임성리구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,468402401
2,38613,468402401,오룡산,임성리구간, ,1.15,쉬움,20,14, , , , , ,2016-12-31,468402401
3,38614,468402401,오룡산,용포리구간, ,0.59,쉬움,10,7, , , , , ,2016-12-31,468402401
4,38615,468402401,오룡산,남악리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,468402401
5,38616,468402401,오룡산,용포리구간, ,0.64,쉬움,12,8, , , , , ,2016-12-31,468402401
6,38617,468402401,오룡산,남악리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,468402401
7,38618,468402401,오룡산,남악리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,468402401
8,38619,468402401,오룡산,남악리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,468402401
9,38620,468402401,오룡산,용포리구간, ,0.17,중간,3,2, , , , , ,2016-12-31,468402401
10,38621,468402401,오룡산,남악리구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,468402401
11,38622,468402401,오룡산,남악리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,468402401
12,38623,468402401,오룡산,남악리구간, ,0.21,중간,4,3, , , , , ,2016-12-31,468402401
13,38624,468402401,오룡산,남악리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,468402401
14,38625,468402401,오룡산,남악리구간, ,0.65,쉬움,12,9, , , , , ,2016-12-31,468402401
15,38626,468402401,오룡산,남악리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,468402401
16,38627,468402401,오룡산,남악리구간, ,0.58,쉬움,10,7, , , , , ,2016-12-31,468402401
17,38628,468402401,오룡산,남악리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,468402401
18,38629,468402401,오룡산,남악리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,468402401
19,38630,468402401,오룡산,남악리구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,468402401
20,38631,468402401,오룡산,남악리구간, ,1.02,쉬움,18,13, , , , , ,2016-12-31,468402401
21,38632,468402401,오룡산,남악리구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,468402401
