FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,39243,427205201,오음산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2216044400
1,39244,427205201,오음산, , ,0.67,쉬움,12,8, , , , , ,2016-12-31,2216044400
2,39245,427205201,오음산, , ,1.47,쉬움,26,18, , , , , ,2016-12-31,2216044400
3,39246,427205201,오음산,월운리구간, ,2.42,쉬움,61,42, , , , , ,2016-12-31,2216044400
4,39247,427205201,오음산, , ,1.45,쉬움,26,18, , , , , ,2016-12-31,2216044400
5,39248,427205201,오음산, , ,1.72,쉬움,30,21, , , , , ,2016-12-31,2216044400
6,39249,427205201,오음산,월운리구간, ,6.11,쉬움,153,107, , , , , ,2016-12-31,2216044400
7,39250,427205201,오음산,창봉리구간, ,2.41,쉬움,43,30, , , , , ,2016-12-31,2216044400
8,39251,427205201,오음산,삼마치리구간, ,2.08,쉬움,37,26, , , , , ,2016-12-31,2216044400
9,39252,427205201,오음산, , ,7.65,쉬움,135,95, , , , , ,2016-12-31,2216044400
10,39253,427205201,오음산,삼마치리구간, ,0.87,쉬움,15,11, , , , , ,2016-12-31,2216044400
