FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,39548,421105904,온의등산로,칠전동구간, ,0.6,쉬움,11,7, , , , , ,2016-12-31,421103901
1,39549,421105904,온의등산로, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,421103901
2,39550,421105904,온의등산로, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,421103901
3,39551,421105904,온의등산로,온의동구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,421103901
4,39552,421105904,온의등산로, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,421103901
5,39553,421105904,온의등산로, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,421103901
6,39554,421105904,온의등산로, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,421103901
7,39555,421105904,온의등산로,삼천동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,421103901
8,39556,421105904,온의등산로, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,421103901
9,39557,421105904,온의등산로, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,421103901
10,39558,421105904,온의등산로, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,421103901
11,39559,421105904,온의등산로,온의동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,421103901
12,39560,421105904,온의등산로,온의동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,421103901
13,39561,421105904,온의등산로,온의동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,421103901
