FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,39624,471703401,와룡산,산야리구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,471703401
1,39625,471703401,와룡산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,471703401
2,39626,471703401,와룡산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,471703401
3,39627,471703401,와룡산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,471703401
4,39628,471703401,와룡산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,471703401
5,39629,471703401,와룡산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,471703401
6,39630,471703401,와룡산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,471703401
7,39631,471703401,와룡산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,471703401
8,39632,471703401,와룡산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,471703401
9,39633,471703401,와룡산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,471703401
10,39634,471703401,와룡산, , ,1.29,쉬움,23,16, , , , , ,2016-12-31,471703401
11,39635,471703401,와룡산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,471703401
12,39636,471703401,와룡산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,471703401
13,39637,471703401,와룡산, , ,1.22,쉬움,22,15, , , , , ,2016-12-31,471703401
