FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,39756,451102904,완산공원,곤지중-효자1동 해맑은어린이집구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,451102904
1,39757,451102904,완산공원,곤지중-효자1동 해맑은어린이집구간, ,0.11,쉬움,2,1,토사, , , , ,2016-12-31,451102904
2,39758,451102904,완산공원,곤지중-효자1동 해맑은어린이집구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,451102904
3,39759,451102904,완산공원,곤지중-효자1동 해맑은어린이집구간, ,0.08,쉬움,1,1,토사, , , , ,2016-12-31,451102904
4,39760,451102904,완산공원,곤지중-효자1동 해맑은어린이집구간,돌꼭지길,0.06,쉬움,1,1,토사, , , , ,2016-12-31,451102904
5,39761,451102904,완산공원,곤지중-효자1동 해맑은어린이집구간, ,0.15,쉬움,3,2,토사, , , , ,2016-12-31,451102904
6,39762,451102904,완산공원,곤지중-효자1동 해맑은어린이집구간, ,0.14,쉬움,2,2,토사, , , , ,2016-12-31,451102904
7,39763,451102904,완산공원,평화동 효성A-평화동 성당 옆구간, ,0.27,쉬움,5,3,토사, , , , ,2016-12-31,451102904
8,39764,451102904,완산공원,평화동 효성A-평화동 성당 옆구간, ,0.09,쉬움,2,1,토사, , , , ,2016-12-31,451102904
9,39765,451102904,완산공원,평화동1가구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,451102904
10,39766,451102904,완산공원,팔각정 2길 중택 앞-효자동 약수터구간, ,0.13,쉬움,2,2,토사, , , , ,2016-12-31,451102904
11,39767,451102904,완산공원,효자동 약수터-양지뜸 2길 주택구간,양지뜸 2길 주택 10호,0.04,쉬움,1,0,토사, , , , ,2016-12-31,451102904
12,39768,451102904,완산공원,평화동1가구간, ,0.2,쉬움,4,2,토사, , , , ,2016-12-31,451102904
13,39769,451102904,완산공원,양지뜸 2길 주택구간, ,0.09,쉬움,2,1,토사, , , , ,2016-12-31,451102904
14,39770,451102904,완산공원,효자동1가 약수터-정해사 보문유치원구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,451102904
15,39771,451102904,완산공원,팔각정 2길 중택 앞-효자동 약수터구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,451102904
16,39772,451102904,완산공원,효자동1가 약수터-정해사 보문유치원구간, ,0.16,쉬움,3,2,토사, , , , ,2016-12-31,451102904
17,39773,451102904,완산공원,효자동1가 약수터-정해사 보문유치원구간, ,0.11,쉬움,2,1,토사, , , , ,2016-12-31,451102904
18,39774,451102904,완산공원,효자동1가 약수터-정해사 보문유치원구간,"정혜사,보문유치원",0.04,쉬움,1,0,토사, , , , ,2016-12-31,451102904
19,39775,451102904,완산공원,정혜사 보문유치원구간, ,0.08,쉬움,1,1,토사, , , , ,2016-12-31,451102904
20,39776,451102904,완산공원,효자동1가구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,451102904
21,39777,451102904,완산공원,곤지중-효자1동 해맑은어린이집구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,451102904
