FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,39938,427503901,완택산, , ,1.17,쉬움,21,14, , , , , ,2016-12-31,2208063200
1,39939,427503901,완택산, , ,0.62,쉬움,11,8, , , , , ,2016-12-31,2208063200
2,39940,427503901,완택산,삼옥리구간, ,4.34,쉬움,163,114, , , , , ,2016-12-31,2208063200
3,39941,427503901,완택산, , ,0.85,쉬움,15,11, , , , , ,2016-12-31,2208063200
4,39942,427503901,완택산,연상리구간, ,2.11,쉬움,37,26, , , , , ,2016-12-31,2208063200
5,39943,427503901,완택산,삼옥리구간, ,2.64,쉬움,47,33, , , , , ,2016-12-31,2208063200
6,39944,427503901,완택산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,2208063200
7,39945,427503901,완택산,연하리구간, ,1.16,쉬움,29,20, , , , , ,2016-12-31,2208063200
8,39946,427503901,완택산, , ,1.68,쉬움,30,21, , , , , ,2016-12-31,2208063200
9,39947,427503901,완택산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,2208063200
