FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,40012,479202701,왕두산,석현리구간, ,1.43,쉬움,25,18,토반, , , , ,2016-12-31,479202701
1,40013,479202701,왕두산,각화사-방터골구간, ,1.47,쉬움,26,18,토반, , , , ,2016-12-31,479202701
2,40014,479202701,왕두산,석현리구간, ,0.17,쉬움,3,2,토반, , , , ,2016-12-31,479202701
3,40015,479202701,왕두산,석현리구간, ,0.98,쉬움,17,12,토반, , , , ,2016-12-31,479202701
4,40016,479202701,왕두산,석현리구간, ,1.38,쉬움,24,17,토반, , , , ,2016-12-31,479202701
5,40017,479202701,왕두산,각화사-방터골구간, ,0.77,쉬움,14,10,토반, , , , ,2016-12-31,479202701
6,40018,479202701,왕두산,각화사-방터골구간,왕두산,0.35,쉬움,6,4,토반, , , , ,2016-12-31,479202701
7,40019,479202701,왕두산,각화사-방터골구간, ,0.97,쉬움,17,12,토반, , , , ,2016-12-31,479202701
8,40020,479202701,왕두산,각화사-방터골구간, ,0.01,쉬움,1,0,토반, , , , ,2016-12-31,479202701
9,40021,479202701,왕두산,석현리구간, ,0.03,쉬움,1,0,토반, , , , ,2016-12-31,479202701
10,40022,479202701,왕두산,석현리구간, ,0.84,쉬움,15,10,토반, , , , ,2016-12-31,479202701
11,40023,479202701,왕두산,고선리구간, ,2.52,쉬움,44,31,토반, , , , ,2016-12-31,479202701
12,40024,479202701,왕두산,각화사-방터골구간, ,0.21,쉬움,4,3,토반, , , , ,2016-12-31,479202701
13,40025,479202701,왕두산,석현리구간, ,2.33,쉬움,41,29,토반, , , , ,2016-12-31,479202701
14,40026,479202701,왕두산,석현리구간, ,0.05,쉬움,1,1,토반, , , , ,2016-12-31,479202701
15,40027,479202701,왕두산,석현리구간, ,0.04,쉬움,1,0,토반, , , , ,2016-12-31,479202701
16,40028,479202701,왕두산,석현리구간, ,0.18,쉬움,3,2,토반, , , , ,2016-12-31,479202701
17,40029,479202701,왕두산,소로리구간, ,0.16,쉬움,3,2,토반, , , , ,2016-12-31,479202701
18,40030,479202701,왕두산,각화사-방터골구간, ,0.27,중간,5,3,토반, , , , ,2016-12-31,479202701
19,40031,479202701,왕두산,각화사-방터골구간, ,0.12,중간,2,1,토반, , , , ,2016-12-31,479202701
20,40032,479202701,왕두산,각화사-방터골구간, ,1.26,쉬움,22,16,토반, , , , ,2016-12-31,479202701
21,40033,479202701,왕두산,석현리구간, ,0.15,쉬움,3,2,토반, , , , ,2016-12-31,479202701
22,40034,479202701,왕두산,각화사-방터골구간, ,0.88,쉬움,19,13,토반, , , , ,2016-12-31,479202701
23,40035,479202701,왕두산,각화사-방터골구간,형제봉,1.09,쉬움,19,13,토반, , , , ,2016-12-31,479202701
