FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,40308,481502101,용마산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,481251501
1,40309,481502101,용마산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,481251501
2,40310,481502101,용마산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,481251501
3,40311,481502101,용마산,산호동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,481251501
4,40312,481502101,용마산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,481251501
5,40313,481502101,용마산,산호동구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,481251501
6,40314,481502101,용마산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,481251501
7,40315,481502101,용마산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,481251501
8,40316,481502101,용마산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,481251501
9,40317,481502101,용마산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,481251501
10,40318,481502101,용마산,산호동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,481251501
11,40319,481502101,용마산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,481251501
12,40320,481502101,용마산,산호동구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,481251501
13,40321,481502101,용마산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,481251501
14,40322,481502101,용마산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,481251501
15,40323,481502101,용마산,산호동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,481251501
16,40324,481502101,용마산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,481251501
17,40325,481502101,용마산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,481251501
18,40326,481502101,용마산, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,481251501
19,40327,481502101,용마산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,481251501
20,40328,481502101,용마산,산호동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,481251501
