FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,40385,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,291701601
1,40386,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,291701601
2,40387,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.14,쉬움,2,2,토사, , , , ,2016-12-31,291701601
3,40388,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,291701601
4,40389,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.03,중간,1,0,토사, , , , ,2016-12-31,291701601
5,40390,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.15,쉬움,3,2,토사, , , , ,2016-12-31,291701601
6,40391,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.09,쉬움,2,1,토사, , , , ,2016-12-31,291701601
7,40392,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.1,쉬움,2,1,토사, , , , ,2016-12-31,291701601
8,40393,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.07,쉬움,1,1,토사, ,Y, , ,2016-12-31,291701601
9,40394,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.2,쉬움,4,2,토사, , , , ,2016-12-31,291701601
10,40395,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.1,쉬움,2,1,토사, , , , ,2016-12-31,291701601
11,40396,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.26,쉬움,5,3,토사, , , , ,2016-12-31,291701601
12,40397,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.19,쉬움,3,2,토사, , , , ,2016-12-31,291701601
13,40398,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.19,쉬움,3,2,토사, , , , ,2016-12-31,291701601
14,40399,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,291701601
15,40400,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,291701601
16,40401,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.25,쉬움,4,3,토사, , , , ,2016-12-31,291701601
17,40402,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.15,쉬움,3,2,토사, , , , ,2016-12-31,291701601
18,40403,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.15,쉬움,3,2,토사, , , , ,2016-12-31,291701601
19,40404,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,291701601
20,40405,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.06,쉬움,1,1,토사, , , , ,2016-12-31,291701601
21,40406,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.23,쉬움,4,3,토사, , , , ,2016-12-31,291701601
22,40407,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.16,쉬움,3,2,토사, , , , ,2016-12-31,291701601
23,40408,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,291701601
24,40409,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.22,쉬움,4,3,토사, , , , ,2016-12-31,291701601
25,40410,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,291701601
26,40411,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,291701601
27,40412,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,291701601
28,40413,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.06,쉬움,1,1,토사, , , , ,2016-12-31,291701601
29,40414,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.23,쉬움,4,3,토사, , , , ,2016-12-31,291701601
30,40415,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,291701601
31,40416,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.11,쉬움,2,1,토사, , , , ,2016-12-31,291701601
32,40417,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,291701601
33,40418,291701601,용산,마라보아파트308동-주공4단지 뒤편구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,291701601
