FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,40491,413601401,용암산,산곡동구간, ,0.27,쉬움,5,3, , ,Y, , ,2016-12-31,411500601
1,40492,413601401,용암산, , ,0.06,쉬움,1,1, , ,Y, , ,2016-12-31,411500601
2,40493,413601401,용암산, , ,0.07,쉬움,1,1, , ,Y, , ,2016-12-31,411500601
3,40494,413601401,용암산, , ,0.12,쉬움,2,1, , ,Y, , ,2016-12-31,411500601
4,40495,413601401,용암산,산곡동구간, ,0.74,쉬움,13,9, , , , , ,2016-12-31,411500601
5,40496,413601401,용암산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,411500601
6,40497,413601401,용암산,산곡동구간, ,1.03,쉬움,26,18, , , , , ,2016-12-31,411500601
7,40498,413601401,용암산, , ,0.81,쉬움,14,10, , , , , ,2016-12-31,411500601
8,40499,413601401,용암산,민락동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,411500601
9,40500,413601401,용암산,민락동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,411500601
10,40501,413601401,용암산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,411500601
11,40502,413601401,용암산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,411500601
12,40503,413601401,용암산, , ,0.45,쉬움,8,6, , , , , ,2016-12-31,411500601
13,40504,413601401,용암산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,411500601
14,40505,413601401,용암산, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,411500601
15,40506,413601401,용암산, , ,0.57,쉬움,10,7, , , , , ,2016-12-31,411500601
16,40507,413601401,용암산, , ,0.64,쉬움,11,8, , , , , ,2016-12-31,411500601
17,40508,413601401,용암산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,411500601
18,40509,413601401,용암산, , ,0.93,쉬움,16,11, , , , , ,2016-12-31,411500601
19,40510,413601401,용암산,낙양동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,411500601
20,40511,413601401,용암산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,411500601
21,40512,413601401,용암산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,411500601
22,40513,413601401,용암산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,411500601
23,40514,413601401,용암산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,411500601
24,40515,413601401,용암산,낙양동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,411500601
25,40516,413601401,용암산,낙양동구간, ,1.74,쉬움,31,21, , , , , ,2016-12-31,411500601
26,40517,413601401,용암산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,411500601
27,40518,413601401,용암산, , ,0.4,쉬움,7,5, , , , , ,2016-12-31,413601401
28,40519,413601401,용암산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,413601401
29,40520,413601401,용암산, , ,0.01,쉬움,1,0, , ,Y, , ,2016-12-31,413601401
30,40521,413601401,용암산, , ,0.18,쉬움,3,2, , ,Y, , ,2016-12-31,413601401
31,40522,413601401,용암산, , ,0.14,쉬움,2,2, , ,Y, , ,2016-12-31,413601401
32,40523,413601401,용암산, , ,0.17,쉬움,3,2, , ,Y, , ,2016-12-31,413601401
33,40524,413601401,용암산, , ,0.14,쉬움,2,2, , ,Y, , ,2016-12-31,413601401
34,40525,413601401,용암산, , ,0.27,쉬움,5,3, , ,Y, , ,2016-12-31,413601401
35,40526,413601401,용암산, , ,0.16,쉬움,3,2, , ,Y, , ,2016-12-31,413601401
36,40527,413601401,용암산, , ,0.12,쉬움,2,1, , ,Y, , ,2016-12-31,413601401
37,40528,413601401,용암산, , ,0.12,쉬움,2,1, , ,Y, , ,2016-12-31,413601401
38,40529,413601401,용암산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,413601401
39,40530,413601401,용암산, , ,0.07,쉬움,1,1, , ,Y, , ,2016-12-31,413601401
40,40531,413601401,용암산, , ,0.11,쉬움,2,1, , ,Y, , ,2016-12-31,413601401
41,40532,413601401,용암산, , ,0.09,쉬움,2,1, , ,Y, , ,2016-12-31,413601401
42,40533,413601401,용암산, , ,0.01,쉬움,1,0, , ,Y, , ,2016-12-31,413601401
43,40534,413601401,용암산, , ,0.1,쉬움,2,1, , ,Y, , ,2016-12-31,413601401
44,40535,413601401,용암산, , ,0.12,쉬움,2,1, , ,Y, , ,2016-12-31,413601401
45,40536,413601401,용암산, , ,0.13,쉬움,2,2, , ,Y, , ,2016-12-31,413601401
46,40537,413601401,용암산, , ,0.39,쉬움,7,5, , ,Y, , ,2016-12-31,413601401
47,40538,413601401,용암산, , ,0.01,쉬움,1,0, , ,Y, , ,2016-12-31,413601401
48,40539,413601401,용암산, , ,0.15,쉬움,3,2, , ,Y, , ,2016-12-31,413601401
49,40540,413601401,용암산, , ,0.02,쉬움,1,0, , ,Y, , ,2016-12-31,413601401
50,40541,413601401,용암산, , ,0.1,쉬움,2,1, , ,Y, , ,2016-12-31,413601401
51,40542,413601401,용암산, , ,0.12,쉬움,2,1, , ,Y, , ,2016-12-31,413601401
52,40543,413601401,용암산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,413601401
53,40544,413601401,용암산, , ,0.11,쉬움,2,1, , ,Y, , ,2016-12-31,413601401
54,40545,413601401,용암산, , ,0.18,쉬움,3,2, , ,Y, , ,2016-12-31,413601401
55,40546,413601401,용암산, , ,0.0,쉬움,1,0, , , , , ,2016-12-31,413601401
56,40547,413601401,용암산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,413601401
57,40548,413601401,용암산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,413601401
58,40549,413601401,용암산,용암리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,413601401
59,40550,413601401,용암산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,413601401
60,40551,413601401,용암산,산곡동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,411500601
61,40552,413601401,용암산, , ,0.47,쉬움,8,6, , , , , ,2016-12-31,413601401
62,40553,413601401,용암산, , ,0.13,쉬움,2,2, , ,Y, , ,2016-12-31,411500601
63,40554,413601401,용암산, , ,0.33,쉬움,6,4, , ,Y, , ,2016-12-31,413601401
64,40555,413601401,용암산, , ,0.32,쉬움,6,4, , ,Y, , ,2016-12-31,413601401
65,40556,413601401,용암산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,413601401
66,40557,413601401,용암산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,413601401
67,40558,413601401,용암산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,411500601
68,40559,413601401,용암산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,413601401
69,40560,413601401,용암산, , ,0.58,쉬움,10,7, , , , , ,2016-12-31,411500601
70,40561,413601401,용암산,용암리구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,413601401
71,40562,413601401,용암산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,411500601
72,40563,413601401,용암산, , ,0.59,쉬움,10,7, , , , , ,2016-12-31,413601401
73,40564,413601401,용암산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,411500601
74,40565,413601401,용암산,민락동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,413601401
75,40566,413601401,용암산,낙양동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,411500601
76,40567,413601401,용암산,이동교리구간, ,2.65,쉬움,47,33, , , , , ,2016-12-31,416502501
77,40568,413601401,용암산, , ,0.43,쉬움,8,5, , ,Y, , ,2016-12-31,411500601
78,40569,413601401,용암산, , ,1.21,쉬움,21,15, , , , , ,2016-12-31,413601401
79,40570,413601401,용암산, , ,2.27,쉬움,40,28, , , , , ,2016-12-31,411500601
80,40571,413601401,용암산,고산동구간, ,0.86,쉬움,15,11, , , , , ,2016-12-31,411500601
81,40572,413601401,용암산, , ,1.06,쉬움,19,13, , , , , ,2016-12-31,411500601
82,40573,413601401,용암산,무림리구간, ,0.91,쉬움,16,11, , , , , ,2016-12-31,411500601
83,40574,413601401,용암산, , ,1.35,쉬움,24,17, , , , , ,2016-12-31,411500601
