FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,40683,451400301,용화산, , ,0.91,쉬움,16,11, , , , , ,2016-12-31,2509280300
1,40684,451400301,용화산, , ,0.9,쉬움,16,11, , , , , ,2016-12-31,2509280300
2,40685,451400301,용화산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2509280300
3,40686,451400301,용화산,산북리구간, ,0.73,쉬움,13,9, , , , , ,2016-12-31,2509280300
4,40687,451400301,용화산, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,2509280300
5,40688,451400301,용화산, , ,0.45,쉬움,8,6, , , , , ,2016-12-31,2509280300
6,40689,451400301,용화산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,2509280300
7,40690,451400301,용화산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2509280300
8,40691,451400301,용화산,산북리구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,2509280300
9,40692,451400301,용화산, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,2509280300
10,40693,451400301,용화산,원수리구간, ,1.72,쉬움,43,30, , , , , ,2016-12-31,2509280300
11,40694,451400301,용화산,원수리구간, ,1.68,쉬움,30,21, , , , , ,2016-12-31,2509280300
12,40695,451400301,용화산,제남리구간, ,1.79,쉬움,32,22, , , , , ,2016-12-31,2509280300
13,40696,451400301,용화산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,2509280300
14,40697,451400301,용화산,천마아파트구간,천마아파트- 정상 - 이병기 생가,1.36,쉬움,24,17, , , , , ,2016-12-31,2509280300
15,40698,451400301,용화산, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,2509280300
16,40699,451400301,용화산,신용리구간, ,1.01,쉬움,19,13, , , , , ,2016-12-31,2509280300
17,40700,451400301,용화산,신용리구간, ,0.78,쉬움,14,10, , , , , ,2016-12-31,2509280300
18,40701,451400301,용화산,동고도리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,2509280300
19,40702,451400301,용화산,서동공원구간,서동공원 - 정상 -백제 토기도요지,0.18,쉬움,3,2, , , , , ,2016-12-31,2509280300
20,40703,451400301,용화산,신용리구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,2509280300
21,40704,451400301,용화산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2509280300
22,40705,451400301,용화산,제남리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,2509280300
23,40706,451400301,용화산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,2509280300
24,40707,451400301,용화산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2509280300
25,40708,451400301,용화산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2509280300
26,40709,451400301,용화산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2509280300
27,40710,451400301,용화산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2509280300
28,40711,451400301,용화산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2509280300
29,40712,451400301,용화산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2509280300
30,40713,451400301,용화산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2509280300
31,40714,451400301,용화산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2509280300
32,40715,451400301,용화산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2509280300
33,40716,451400301,용화산, , ,1.15,쉬움,20,14, , , , , ,2016-12-31,2509280300
34,40717,451400301,용화산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2509280300
35,40718,451400301,용화산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,2509280300
36,40719,451400301,용화산, , ,1.03,쉬움,18,13, , , , , ,2016-12-31,2509280300
37,40720,451400301,용화산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2509280300
38,40721,451400301,용화산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2509280300
39,40722,451400301,용화산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2509280300
40,40723,451400301,용화산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2509280300
41,40724,451400301,용화산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2509280300
42,40725,451400301,용화산, , ,0.91,쉬움,16,11, , , , , ,2016-12-31,2509280300
43,40726,451400301,용화산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2509280300
44,40727,451400301,용화산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2509280300
45,40728,451400301,용화산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2509280300
46,40729,451400301,용화산,원수리구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,2509280300
47,40730,451400301,용화산, , ,0.79,쉬움,14,10, , , , , ,2016-12-31,2509280300
