FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,40919,431103901,우암산,율량동구간, ,0.73,쉬움,13,9, , , , , ,2016-12-31,431103901
1,40920,431103901,우암산,율량동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,431103901
2,40921,431103901,우암산,율량동구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,431103901
3,40922,431103901,우암산,율량동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,431103901
4,40923,431103901,우암산,수동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,431103901
5,40924,431103901,우암산,명암동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,431103901
6,40925,431103901,우암산,용담동구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,431103901
7,40926,431103901,우암산,용담동구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,431103901
8,40927,431103901,우암산,내덕동구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,431103901
9,40928,431103901,우암산,우암동구간, ,0.16,중간,3,2, , , , , ,2016-12-31,431103901
10,40929,431103901,우암산,우암동구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,431103901
11,40930,431103901,우암산,우암동구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,431103901
12,40931,431103901,우암산,수동구간, ,0.35,중간,7,5, , , , , ,2016-12-31,431103901
13,40932,431103901,우암산,수동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,431103901
14,40933,431103901,우암산,수동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,431103901
15,40934,431103901,우암산,수동구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,431103901
16,40935,431103901,우암산,수동구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,431103901
17,40936,431103901,우암산,수동구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,431103901
18,40937,431103901,우암산,수동구간, ,0.95,쉬움,20,14, , , , , ,2016-12-31,431103901
19,40938,431103901,우암산,수동구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,431103901
20,40939,431103901,우암산,용담동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,431103901
21,40940,431103901,우암산,수동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,431103901
22,40941,431103901,우암산,용담동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,431103901
23,40942,431103901,우암산,용담동구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,431103901
24,40943,431103901,우암산,용담동구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,431103901
25,40944,431103901,우암산,용담동구간, ,0.6,쉬움,11,7, , , , , ,2016-12-31,431103901
26,40945,431103901,우암산,율량동구간, ,0.86,쉬움,15,11, , , , , ,2016-12-31,431103901
27,40946,431103901,우암산,대성동구간, ,0.7,쉬움,12,9, , , , , ,2016-12-31,431103901
